date,side,trigger_idx,best_toward_pivot_coord,before_max_away_from_pivot,after_max_away_from_pivot,full_day_max_away_from_pivot
2011-01-21,SELL,0,-0.20000000000000534,0.2543749999999987,0.738750000000004,0.738750000000004
2011-01-24,BUY,0,1.2562432138979243,0.4896851248642828,0.9391965255157625,0.9391965255157625
2011-01-25,SELL,7,1.1186943620177794,0.24480712166172794,0.3635014836795284,0.3635014836795284
2011-01-26,BUY,29,0.5118451785118544,0.255922589255913,0.25792459125792455,0.25792459125792455
2011-01-27,SELL,30,0.12310359774601068,0.2527091460771355,1.8599913307325262,1.8599913307325262
2011-01-28,SELL,0,1.21027937726593,0.25357219023246613,0.25357219023246613,0.25357219023246613
2011-01-31,SELL,0,0.17728531855958155,0.4155124653739491,3.3462603878116832,3.3462603878116832
2011-02-01,SELL,3,0.2819706498951784,0.3634696016771514,0.331236897274638,0.3634696016771514
2011-02-02,SELL,0,0.21924482338610604,0.31425091352011014,0.647990255785642,0.647990255785642
2011-02-03,SELL,5,2.152153558052415,0.2312734082397125,0.4138576779026266,0.4138576779026266
2011-02-04,BUY,20,0.18500273672687148,0.3519430760810156,0.5161466885604887,0.5161466885604887
2011-02-07,SELL,0,1.1767497034400922,0.3641755634638146,2.211150652431767,2.211150652431767
2011-02-08,SELL,10,0.1715686274509714,0.2727591036414617,0.5742296918767583,0.5742296918767583
2011-02-09,SELL,4,-0.14131455399061632,0.29201877934272635,1.6793427230046818,1.6793427230046818
2011-02-10,SELL,0,0.14870435806831786,0.29829210836277575,0.5615429917550023,0.5615429917550023
2011-02-11,SELL,4,0.4560530679933571,0.3772802653399762,0.30638474295191404,0.3772802653399762
2011-02-14,BUY,0,-0.11661807580176631,0.571428571428601,2.157434402332366,2.157434402332366
2011-02-15,SELL,9,-0.10095238095238211,0.2880952380952388,1.3738095238095274,1.3738095238095274
2011-02-16,SELL,4,-0.041949015811541424,0.2529848338173529,0.7011939335269302,0.7011939335269302
2011-02-17,SELL,0,0.45472344591288294,0.298580518844816,0.4586392559960778,0.4586392559960778
2011-02-18,BUY,25,0.835476956055733,0.3140407288317325,0.7304394426580997,0.7304394426580997
2011-02-22,BUY,0,0.20444444444445456,0.402222222222187,2.5988888888888426,2.5988888888888426
2011-02-23,SELL,3,0.04478795085215989,0.2269124058660286,0.4308363059849365,0.4308363059849365
2011-02-24,BUY,5,-0.01833333333333804,0.23833333333334125,1.5533333333333366,1.5533333333333366
2011-02-25,SELL,0,0.624338624338625,0.31216931216932375,0.34788359788361106,0.34788359788361106
2011-02-28,BUY,0,3.033154121863792,0.5663082437276032,0.6980286738351479,0.6980286738351479
2011-03-01,SELL,0,0.08141210374639705,0.28242074927953487,0.6498559077809781,0.6498559077809781
2011-03-02,BUY,4,0.49129720853857195,0.3914614121510695,0.5274220032840795,0.5274220032840795
2011-03-03,SELL,0,0.08961960025789155,0.27788523533204895,1.9094132817537368,1.9094132817537368
2011-03-04,SELL,2,-0.22399612965649637,0.30769230769229766,0.7634252539912836,0.7634252539912836
2011-03-07,SELL,0,2.7905604719764274,0.2536873156341521,0.35103244837753994,0.35103244837753994
2011-03-08,SELL,16,0.49530516431924304,0.22582159624414422,0.44131455399061315,0.44131455399061315
2011-03-09,SELL,0,0.29674185463657304,0.28521303258147973,0.4611528822055487,0.4611528822055487
2011-03-10,SELL,0,1.7023809523809157,0.29960317460319247,0.3710317460317659,0.3710317460317659
2011-03-11,SELL,24,1.6267942583732058,0.3291866028708072,0.36842105263156966,0.36842105263156966
2011-03-14,SELL,0,0.033240482822650595,0.23695450324977224,0.8369545032497706,0.8369545032497706
2011-03-15,SELL,0,1.4323516858728185,0.269312846777633,0.2923602219376851,0.2923602219376851
2011-03-16,BUY,37,-0.17260579064588083,0.23162583518931285,2.3355605048255366,2.3355605048255366
2011-03-17,SELL,95,-0.1577695013449205,0.23691289054417433,0.23691289054417433,0.23691289054417433
2011-03-18,SELL,0,-0.07334851936218764,1.1312072892938485,2.1211845102505724,2.1211845102505724
2011-03-22,SELL,0,0.38634146341463277,0.3219512195121917,0.36780487804878775,0.36780487804878775
2011-03-23,BUY,40,-0.011211729193603914,1.0629581716256757,1.555843035791258,1.555843035791258
2011-03-24,BUY,7,0.541876046901176,0.262981574539357,0.6398659966499113,0.6398659966499113
2011-03-25,SELL,0,-0.021261516654845426,0.2650602409638518,0.5478384124734098,0.5478384124734098
2011-03-28,SELL,0,-0.07105064247921977,0.37037037037035364,2.0370370370370097,2.0370370370370097
2011-03-29,SELL,13,-0.1422529796232252,0.2506728181468644,1.897731641676308,1.897731641676308
2011-03-30,SELL,2,-0.15432801822322698,0.320045558086559,0.8627562642368942,0.8627562642368942
2011-03-31,SELL,3,0.2513397642014936,0.39013933547696455,0.8579849946409467,0.8579849946409467
2011-04-04,SELL,1,1.4992248062015248,0.3984496124031022,0.4007751937984621,0.4007751937984621
2011-04-05,SELL,4,0.428396572827424,0.2594859241125914,1.847001223990192,1.847001223990192
2011-04-07,SELL,0,0.7119968737788224,0.2809691285658432,0.2809691285658432,0.2809691285658432
2011-04-08,SELL,4,-0.16036993309720232,0.256001574183384,0.918929555293185,0.918929555293185
2011-04-12,BUY,0,-0.009529860228717019,0.30876747141041333,1.3341804320203283,1.3341804320203283
2011-04-13,SELL,2,0.22494004796162853,0.35779376498801513,0.44652278177458726,0.44652278177458726
2011-04-14,BUY,0,0.11428571428572154,0.28714285714284654,1.4635714285714172,1.4635714285714172
2011-04-15,SELL,0,0.4549569941149814,0.32639203259393507,0.32639203259393507,0.32639203259393507
2011-04-18,BUY,1,0.020869565217391993,0.4434782608695798,5.639999999999988,5.639999999999988
2011-04-19,BUY,7,0.3440924486949567,0.23062363020522253,0.247061167563264,0.247061167563264
2011-04-20,SELL,0,-0.1978429389956259,0.2827772160431443,1.0325244354566923,1.0325244354566923
2011-04-21,SELL,5,0.6087219866747412,0.24470018170805408,0.38400969109630634,0.38400969109630634
2011-04-22,BUY,3,0.2161887329672546,0.22737441529388372,0.33231645312182606,0.33231645312182606
2011-04-25,SELL,13,0.9901088031651919,0.8125618199802341,0.5262116716122606,0.8125618199802341
2011-04-26,BUY,4,0.5473251028806504,0.6024691358024786,0.5604938271605018,0.6024691358024786
2011-04-27,SELL,0,-0.1023622047244197,0.28274874731568267,1.6299212598425241,1.6299212598425241
2011-04-28,SELL,0,0.2410184317400844,0.32974070602936423,0.43095907528896776,0.43095907528896776
2011-04-29,BUY,3,-0.005346350534644074,0.23059042305904703,0.7375639237564007,0.7375639237564007
2011-05-02,BUY,0,1.8238213399503798,0.2605459057071669,0.6501240694788647,0.6501240694788647
2011-05-03,BUY,26,0.17118020728851344,0.6613172851889173,1.203945168839867,1.203945168839867
2011-05-04,BUY,5,0.5988329686360224,0.34208606856311025,0.5455871626550121,0.5455871626550121
2011-05-05,BUY,0,-0.05141278946249747,0.318461865306982,2.3707244529424143,2.3707244529424143
2011-05-06,BUY,0,-0.006320417697172402,0.2382522671063494,0.6611706512778259,0.6611706512778259
2011-05-09,SELL,0,1.2113131313131555,0.2856565656565613,0.5486868686868664,0.5486868686868664
2011-05-10,BUY,6,0.9146005509641905,0.4104683195592317,0.5316804407713446,0.5316804407713446
2011-05-11,SELL,0,0.7301587301587312,0.24222222222222453,0.30365079365079845,0.30365079365079845
2011-05-12,BUY,25,0.03945954245355508,0.24428066943036839,0.5938891447873459,0.5938891447873459
2011-05-13,BUY,19,0.35674547983310456,0.4401947148817764,1.0549374130737088,1.0549374130737088
2011-05-16,BUY,0,2.985696517412911,0.24378109452736885,0.24378109452736885,0.24378109452736885
2011-05-17,SELL,10,-0.09435778933179759,0.25322549585981985,1.17350279222031,1.17350279222031
2011-05-18,SELL,0,0.22151277013752116,0.2902750491159174,0.5009823182711175,0.5009823182711175
2011-05-19,SELL,5,-0.03467029231815248,0.3426240652617325,0.7369136641740387,0.7369136641740387
2011-05-20,SELL,0,1.276863504356231,0.23039690222653772,0.32236205227493925,0.32236205227493925
2011-05-23,BUY,0,0.42686242523108686,0.23708537248508113,2.3936922240348193,2.3936922240348193
2011-05-24,SELL,21,0.00038557933295233496,0.23385386543280898,0.8035473298631155,0.8035473298631155
2011-05-25,BUY,4,0.13693045563548764,0.2393285371702648,0.5846522781774618,0.5846522781774618
2011-05-26,SELL,1,0.8109006314390296,0.42239946826186237,1.0963775340644564,1.0963775340644564
2011-05-27,BUY,0,0.4126154382296566,0.27217285241331496,0.27217285241331496,0.27217285241331496
2011-05-31,SELL,0,-0.1526294978252194,0.2807433768287824,2.468169236852508,2.468169236852508
2011-06-01,SELL,24,0.6379781420764994,0.23036202185791782,0.3625341530054557,0.3625341530054557
2011-06-02,SELL,40,0.03976787847755925,0.3160948967400605,0.43539853217272373,0.43539853217272373
2011-06-03,SELL,0,0.7487620536877692,0.23560072973678436,0.5452176179306873,0.5452176179306873
2011-06-06,SELL,0,2.167919799498765,0.4511278195488526,0.6340852130325803,0.6340852130325803
2011-06-07,BUY,5,0.7480620155038656,0.2519379844961216,0.2519379844961216,0.2519379844961216
2011-06-08,SELL,0,1.037865235539653,0.2823494335122305,0.2823494335122305,0.2823494335122305
2011-06-09,BUY,0,0.39837398373983346,0.26558265582656526,0.6429539295392945,0.6429539295392945
2011-06-10,BUY,4,-0.06549555410973014,0.2483192366081084,1.1591845586640608,1.1591845586640608
2011-06-13,SELL,0,0.36507936507935146,0.6000000000000271,1.9523809523809954,1.9523809523809954
2011-06-14,BUY,1,1.6986301369863046,0.25890410958901056,0.27534246575339466,0.27534246575339466
2011-06-15,BUY,25,-0.055979643765908076,0.23016423779782522,1.0400185056673679,1.0400185056673679
2011-06-16,BUY,0,-0.1246819338422474,0.29731845762380726,0.9896261499314996,0.9896261499314996
2011-06-17,SELL,5,0.3930753564154648,0.2803801765105303,0.34012219959268114,0.34012219959268114
2011-06-21,SELL,1,0.030631659056319385,0.28443683409436765,0.6371765601217602,0.6371765601217602
2011-06-22,SELL,24,0.22478632478632893,0.29401709401708853,0.4196581196581188,0.4196581196581188
2011-06-23,BUY,0,0.12334217506631687,0.22811671087532617,1.9641909814323597,1.9641909814323597
2011-06-24,BUY,40,-0.13405336721727884,0.3608640406607328,0.5800508259212132,0.5800508259212132
2011-06-27,BUY,0,5.955703211517158,0.4662236987818268,0.4662236987818268,0.4662236987818268
2011-06-28,SELL,0,-0.03431626142439041,0.2769443007415101,0.8325573374719779,0.8325573374719779
2011-06-29,SELL,0,0.09937351479802396,0.23957658241519625,0.7249945992654965,0.7249945992654965
2011-06-30,BUY,37,0.45597484276730343,0.293238993710683,0.3922955974842601,0.3922955974842601
2011-07-01,SELL,2,-0.13345690454123457,0.22613531047264784,0.7089898053753392,0.7089898053753392
2011-07-04,SELL,0,1.644948064211604,0.34938621340884585,0.40321057601505417,0.40321057601505417
2011-07-05,SELL,5,1.01198709082527,0.2660212079299081,0.2701705855232692,0.2701705855232692
2011-07-06,BUY,0,-0.0862998921251337,0.2891046386192048,1.685005393743269,1.685005393743269
2011-07-07,BUY,0,0.4237516869095819,0.2496626180836643,0.43522267206477483,0.43522267206477483
2011-07-08,SELL,1,1.3231212359256235,0.2896046085362804,0.36344592825347943,0.36344592825347943
