pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,10,25,200,-20,55,-936.3,-1.2826,-120123.0,-1.6455
EURJPY,10,25,200,-10,55,-1006.3,-1.3785,-127381.0,-1.7449
EURJPY,10,25,200,0,55,-696.3,-0.9538,-84150.0,-1.1527
EURJPY,10,25,200,10,55,-801.3,-1.0977,-98313.0,-1.3468
EURJPY,10,25,200,20,55,-786.3,-1.0771,-93672.0,-1.2832
EURJPY,10,25,250,-20,55,-1031.0,-1.4123,-132434.0,-1.8142
EURJPY,10,25,250,-10,55,-1101.0,-1.5082,-139692.0,-1.9136
EURJPY,10,25,250,0,55,-784.1,-1.0741,-95564.0,-1.3091
EURJPY,10,25,250,10,55,-889.1,-1.2179,-109727.0,-1.5031
EURJPY,10,25,250,20,55,-870.3,-1.1922,-104592.0,-1.4328
EURJPY,10,25,300,-20,55,-1051.6,-1.4405,-135112.0,-1.8508
EURJPY,10,25,300,-10,55,-1121.6,-1.5364,-142370.0,-1.9503
EURJPY,10,25,300,0,55,-805.4,-1.1033,-98333.0,-1.347
EURJPY,10,25,300,10,55,-910.4,-1.2471,-112496.0,-1.541
EURJPY,10,25,300,20,55,-891.6,-1.2214,-107361.0,-1.4707
EURJPY,10,25,350,-20,55,-1042.8,-1.4285,-133968.0,-1.8352
EURJPY,10,25,350,-10,55,-1112.8,-1.5244,-141226.0,-1.9346
EURJPY,10,25,350,0,55,-796.6,-1.0912,-97189.0,-1.3314
EURJPY,10,25,350,10,55,-901.6,-1.2351,-111352.0,-1.5254
EURJPY,10,25,350,20,55,-882.8,-1.2093,-106217.0,-1.455
EURJPY,10,25,400,-20,55,-1042.8,-1.4285,-133968.0,-1.8352
EURJPY,10,25,400,-10,55,-1112.8,-1.5244,-141226.0,-1.9346
EURJPY,10,25,400,0,55,-796.6,-1.0912,-97189.0,-1.3314
EURJPY,10,25,400,10,55,-901.6,-1.2351,-111352.0,-1.5254
EURJPY,10,25,400,20,55,-882.8,-1.2093,-106217.0,-1.455
EURJPY,10,30,150,-20,55,-722.7,-0.99,-92355.0,-1.2651
EURJPY,10,30,150,-10,55,-802.7,-1.0996,-100913.0,-1.3824
EURJPY,10,30,150,0,55,-422.7,-0.579,-48582.0,-0.6655
EURJPY,10,30,150,10,55,-542.7,-0.7434,-64695.0,-0.8862
EURJPY,10,30,150,20,55,-602.7,-0.8256,-69804.0,-0.9562
EURJPY,10,30,200,-20,55,-781.3,-1.0703,-99973.0,-1.3695
EURJPY,10,30,200,-10,55,-861.3,-1.1799,-108531.0,-1.4867
EURJPY,10,30,200,0,55,-561.3,-0.7689,-66600.0,-0.9123
EURJPY,10,30,200,10,55,-681.3,-0.9333,-82713.0,-1.1331
EURJPY,10,30,200,20,55,-691.3,-0.947,-81322.0,-1.114
EURJPY,10,30,250,-20,55,-876.0,-1.2,-112284.0,-1.5381
EURJPY,10,30,250,-10,55,-956.0,-1.3096,-120842.0,-1.6554
EURJPY,10,30,250,0,55,-649.1,-0.8892,-78014.0,-1.0687
EURJPY,10,30,250,10,55,-769.1,-1.0536,-94127.0,-1.2894
EURJPY,10,30,250,20,55,-775.3,-1.0621,-92242.0,-1.2636
EURJPY,10,30,300,-20,55,-896.6,-1.2282,-114962.0,-1.5748
EURJPY,10,30,300,-10,55,-976.6,-1.3378,-123520.0,-1.6921
EURJPY,10,30,300,0,55,-670.4,-0.9184,-80783.0,-1.1066
EURJPY,10,30,300,10,55,-790.4,-1.0827,-96896.0,-1.3273
EURJPY,10,30,300,20,55,-796.6,-1.0912,-95011.0,-1.3015
EURJPY,10,30,350,-20,55,-887.8,-1.2162,-113818.0,-1.5592
EURJPY,10,30,350,-10,55,-967.8,-1.3258,-122376.0,-1.6764
EURJPY,10,30,350,0,55,-661.6,-0.9063,-79639.0,-1.0909
EURJPY,10,30,350,10,55,-781.6,-1.0707,-95752.0,-1.3117
EURJPY,10,30,350,20,55,-787.8,-1.0792,-93867.0,-1.2858
EURJPY,10,30,400,-20,55,-887.8,-1.2162,-113818.0,-1.5592
EURJPY,10,30,400,-10,55,-967.8,-1.3258,-122376.0,-1.6764
EURJPY,10,30,400,0,55,-661.6,-0.9063,-79639.0,-1.0909
EURJPY,10,30,400,10,55,-781.6,-1.0707,-95752.0,-1.3117
EURJPY,10,30,400,20,55,-787.8,-1.0792,-93867.0,-1.2858
EURJPY,15,5,150,-20,55,-70.0,-0.0959,-13954.0,-0.1912
EURJPY,15,5,150,-10,55,25.0,0.0342,4711.0,0.0645
EURJPY,15,5,150,0,55,-55.0,-0.0753,-2458.0,-0.0337
EURJPY,15,5,150,10,55,-115.0,-0.1575,-10621.0,-0.1455
EURJPY,15,5,150,20,55,-255.0,-0.3493,-22956.0,-0.3145
