buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
40,100,10,3430,6860,-8371.268,-8894.0,522.732,-1.1872
75,400,40,3430,6860,-8380.311,-6374.6,-2005.711,-1.1885
40,150,0,3430,6860,-8389.302,-8894.0,504.698,-1.1898
50,100,30,3430,6860,-8398.336,-7157.8,-1240.536,-1.1911
125,250,40,3430,6860,-8403.865,-5356.5,-3047.365,-1.1919
0,50,100,3430,6860,-8404.102,-9785.1,1380.998,-1.1919
100,250,50,3430,6860,-8408.03,-5780.4,-2627.63,-1.1925
100,250,100,3430,6860,-8413.491,-5780.4,-2633.091,-1.1932
50,100,75,3430,6860,-8420.688,-7157.8,-1262.888,-1.1943
100,250,0,3430,6860,-8421.746,-5780.4,-2641.346,-1.1944
75,400,75,3430,6860,-8424.126,-6374.6,-2049.526,-1.1947
20,250,75,3430,6860,-8425.898,-6651.2,-1774.698,-1.195
75,300,50,3430,6860,-8431.619,-6374.6,-2057.019,-1.1958
75,150,75,3430,6860,-8431.619,-6374.6,-2057.019,-1.1958
100,300,20,3430,6860,-8433.049,-5780.4,-2652.649,-1.196
100,250,40,3430,6860,-8434.192,-5780.4,-2653.792,-1.1962
100,300,10,3430,6860,-8441.685,-5780.4,-2661.285,-1.1972
125,250,30,3430,6860,-8446.283,-5356.5,-3089.783,-1.1979
50,100,20,3430,6860,-8448.755,-7157.8,-1290.955,-1.1982
10,50,40,3430,6860,-8455.945,-7943.5,-512.445,-1.1993
50,150,0,3430,6860,-8468.948,-7157.8,-1311.148,-1.2011
30,100,10,3430,6860,-8472.689,-7798.7,-673.989,-1.2016
125,300,10,3430,6860,-8473.334,-5356.5,-3116.834,-1.2017
10,50,30,3430,6860,-8474.36,-7943.5,-530.86,-1.2019
125,300,20,3430,6860,-8483.494,-5356.5,-3126.994,-1.2032
30,100,30,3430,6860,-8487.294,-7798.7,-688.594,-1.2037
125,300,0,3430,6860,-8488.574,-5356.5,-3132.074,-1.2039
20,100,20,3430,6860,-8500.193,-6651.2,-1848.993,-1.2055
75,250,50,3430,6860,-8499.691,-6374.6,-2125.091,-1.2055
40,50,75,3430,6860,-8500.3,-8894.0,393.7,-1.2055
75,300,40,3430,6860,-8509.851,-6374.6,-2135.251,-1.2069
