date,side,entry,pp,r2,s2,norm_entry_dist_r2s2,adverse_norm_from_entry,extreme_norm_from_pivot,outcome,pips,bars_held
2011-12-20,SELL,101.463,101.44866666666667,101.80166666666666,101.09566666666667,0.040604343720470844,0.039660056657252765,0.0802644003777236,WIN,0.43333333333259816,1
2011-12-21,SELL,101.881,101.80900000000001,102.61500000000002,101.003,0.08933002481388025,0.27419354838709736,0.3635235732009776,LOSS,-8.199999999998852,1
2011-12-22,BUY,101.78,101.918,103.00300000000001,100.833,0.12718894009216977,0.05345622119816268,0.18064516129033248,WIN,12.800000000000523,25
2011-12-23,BUY,102.036,102.038,102.672,101.404,0.00315457413248476,0.0,0.00315457413248476,WIN,-0.8000000000004661,1
2011-12-24,BUY,101.87,101.90233333333333,102.38133333333333,101.42333333333333,0.06750173973554638,0.2943632567849803,0.3618649965205267,LOSS,-4.233333333332666,184
2011-12-26,SELL,101.84,101.80799999999999,101.972,101.64399999999999,0.1951219512195756,0.5487804878048939,0.7439024390244695,LOSS,-4.200000000001069,1
2011-12-27,BUY,101.771,101.80533333333334,102.12933333333334,101.48133333333334,0.10596707818930994,0.2345679012345928,0.34053497942390276,LOSS,-4.433333333333621,1
2011-12-28,BUY,101.767,101.77466666666668,102.02166666666668,101.52766666666668,0.031039136302346528,0.4170040485829736,0.44804318488532013,LOSS,-1.766666666667959,1
2011-12-29,BUY,100.733,101.08033333333333,102.14433333333334,100.01633333333332,0.32644110275688165,0.3646616541353408,0.6911027568922224,LOSS,-35.73333333333244,1
2011-12-30,SELL,100.593,100.47266666666667,101.19466666666666,99.75066666666667,0.16666666666666996,0.12742382271468072,0.2940904893813507,WIN,11.033333333333474,10
2011-12-31,BUY,99.69,99.89966666666668,101.15566666666668,98.64366666666668,0.16693205944799183,0.17436305732483603,0.34129511677282787,LOSS,-21.966666666667777,205
2012-01-02,SELL,99.704,99.70033333333333,100.09933333333333,99.30133333333333,0.009189640768572635,0.11528822055139443,0.12447786131996706,LOSS,-1.366666666666049,1
2012-01-03,BUY,99.54,99.55633333333333,100.04833333333333,99.06433333333332,0.03319783197829507,0.0,0.03319783197829507,WIN,0.633333333332132,1
2012-01-04,SELL,100.166,100.0,100.77000000000001,99.22999999999999,0.21558441558440858,0.0,0.21558441558440858,WIN,15.599999999999682,3
2012-01-05,BUY,99.207,99.47266666666667,100.60466666666666,98.34066666666668,0.23468786808010364,0.4779151943462908,0.7126030624263945,LOSS,-27.566666666667516,35
2012-01-06,BUY,98.71,98.84333333333332,99.72233333333332,97.96433333333331,0.15168752370116612,0.15472127417519332,0.30640879787635944,LOSS,-14.333333333332575,20
2012-01-07,BUY,97.853,98.23333333333333,99.17633333333333,97.29033333333334,0.40332272887947057,0.4178154825026428,0.8211382113821133,LOSS,-39.033333333333985,188
2012-01-09,BUY,97.543,97.557,98.13499999999999,96.97900000000001,0.024221453287190425,0.0,0.024221453287190425,WIN,0.39999999999957936,1
2012-01-10,SELL,98.183,97.99133333333333,98.69633333333333,97.28633333333333,0.27186761229315964,0.15744680851062448,0.4293144208037841,WIN,18.16666666666771,32
2012-01-11,BUY,98.017,98.147,98.641,97.653,0.2631578947368618,0.18825910931171935,0.45141700404858115,WIN,12.000000000000966,28
2012-01-12,BUY,97.792,97.86599999999999,98.80999999999999,96.92199999999998,0.07838983050845726,0.08474576271186236,0.16313559322031962,LOSS,-8.399999999998386,3
2012-01-13,SELL,98.446,98.224,99.116,97.33200000000001,0.24887892376681078,0.4002242152466378,0.6491031390134486,LOSS,-23.19999999999942,24
2012-01-14,BUY,97.562,97.86366666666667,99.47666666666667,96.25066666666667,0.18702211200661908,0.20768753874767132,0.39470965075429043,LOSS,-31.166666666667652,180
2012-01-16,BUY,97.291,97.33800000000001,97.739,96.93700000000001,0.11720698254367007,0.17456359102242852,0.2917705735660986,LOSS,-5.7000000000011255,1
2012-01-17,SELL,97.303,97.24233333333332,97.60333333333332,96.88133333333332,0.1680517082179395,0.33518005540168394,0.5032317636196234,LOSS,-7.066666666667686,1
2012-01-18,SELL,97.913,97.84466666666667,98.87066666666666,96.81866666666667,0.06660168940870202,0.0,0.06660168940870202,WIN,5.833333333332803,1
2012-01-19,SELL,98.78,98.44500000000001,99.632,97.25800000000001,0.28222409435551343,0.30160067396799056,0.5838247683235039,LOSS,-34.499999999999375,45
2012-01-20,SELL,99.899,99.50033333333333,101.00533333333334,97.99533333333332,0.26489479512735425,0.28637873754152465,0.5512735326688789,LOSS,-40.86666666666707,30
2012-01-21,BUY,99.606,99.76533333333333,100.67633333333333,98.85433333333333,0.17489937797292643,0.7782656421514687,0.9531650201243951,LOSS,-16.93333333333362,180
2012-01-23,BUY,99.193,99.23133333333334,99.94333333333333,98.51933333333335,0.05383895131087316,0.08567415730336204,0.1395131086142352,LOSS,-4.83333333333411,1
2012-01-24,SELL,100.288,99.96833333333332,101.32233333333332,98.61433333333332,0.23609059576564062,0.3766617429837558,0.6127523387493965,LOSS,-32.96666666666772,36
2012-01-25,SELL,101.259,100.85766666666666,102.13066666666666,99.58466666666666,0.31526577638125836,0.41319717203456235,0.7284629484158207,LOSS,-41.133333333334065,35
2012-01-26,SELL,101.931,101.62400000000001,102.62500000000001,100.623,0.3066933066932932,0.03696303696304292,0.3436563436563361,WIN,29.699999999998795,31
2012-01-27,BUY,101.381,101.65633333333334,102.47933333333333,100.83333333333334,0.3345484001620147,0.5030376670716948,0.8375860672337095,LOSS,-28.533333333333587,16
2012-01-28,SELL,101.312,101.16166666666668,102.10766666666667,100.21566666666668,0.15891472868215856,0.14693446088794512,0.30584918957010365,WIN,14.033333333332166,198
2012-01-30,BUY,101.353,101.37133333333333,101.51033333333332,101.23233333333333,0.1318944844124563,0.6834532374100845,0.8153477218225408,LOSS,-2.833333333333087,1
2012-01-31,BUY,100.337,100.56533333333333,101.94833333333332,99.18233333333333,0.16510002410218752,0.09616775126537253,0.2612677753675601,WIN,21.83333333333246,5
2012-02-01,BUY,99.73,100.04699999999998,101.39099999999999,98.70299999999997,0.23586309523807805,0.27752976190476364,0.5133928571428417,LOSS,-32.699999999997885,27
2012-02-02,SELL,100.347,100.09266666666667,101.54566666666668,98.63966666666667,0.1750401468226568,0.07432897453544657,0.24936912135810338,WIN,24.433333333332087,33
2012-02-03,SELL,100.07,100.04899999999999,100.88499999999999,99.213,0.025119617224881378,0.0,0.025119617224881378,WIN,1.1000000000000796,1
2012-02-04,SELL,100.722,100.479,101.435,99.523,0.254184100418404,0.0,0.254184100418404,WIN,23.2999999999995,180
2012-02-06,BUY,100.482,100.53033333333333,100.86333333333333,100.19733333333333,0.14514514514514185,0.612612612612596,0.7577577577577379,LOSS,-5.833333333333201,1
2012-02-07,SELL,100.437,100.29899999999999,101.05099999999999,99.547,0.18351063829788042,0.20611702127659853,0.389627659574479,LOSS,-14.800000000000523,6
2012-02-08,SELL,101.704,101.349,102.96300000000001,99.735,0.2199504337050736,0.25154894671623595,0.47149938042130957,LOSS,-36.49999999999898,15
2012-02-09,SELL,102.093,102.06166666666667,102.85266666666666,101.27066666666667,0.03961230509903442,0.05436156763589422,0.09397387273492865,LOSS,-4.13333333333361,1
2012-02-10,SELL,103.095,102.781,104.09700000000001,101.465,0.23860182370820088,0.09650455927051299,0.33510638297871387,WIN,30.399999999999295,48
2012-02-11,BUY,102.392,102.54333333333334,103.61033333333333,101.47633333333334,0.14183067791315992,0.025304592314902716,0.16713527022806263,WIN,14.133333333334065,184
2012-02-13,SELL,102.879,102.72466666666666,103.28866666666667,102.16066666666666,0.27364066193854397,0.01595744680851104,0.289598108747055,WIN,14.433333333334076,2
2012-02-14,BUY,101.962,102.32,103.684,100.95599999999999,0.26246334310849617,0.0,0.26246334310849617,WIN,34.79999999999899,15
2012-02-15,SELL,102.935,102.68366666666667,103.93566666666668,101.43166666666666,0.20074547390841296,0.20527156549519876,0.4060170394036117,LOSS,-26.133333333333496,10
2012-02-16,BUY,102.478,102.71733333333333,104.01933333333332,101.41533333333334,0.1838197644649277,0.22964669738862833,0.41346646185355607,LOSS,-24.93333333333345,7
2012-02-17,SELL,103.478,103.075,104.97999999999999,101.17000000000002,0.21154855643044324,0.21364829396326168,0.4251968503937049,LOSS,-41.29999999999916,4
2012-02-18,SELL,104.614,104.23500000000001,105.43000000000002,103.04,0.3171548117154714,0.3631799163179873,0.6803347280334587,LOSS,-38.89999999999907,180
2012-02-20,SELL,105.5,105.28533333333333,106.41533333333332,104.15533333333333,0.18997050147493283,0.0,0.18997050147493283,WIN,20.466666666667322,1
2012-02-21,SELL,105.151,105.12566666666667,106.05166666666666,104.19966666666669,0.02735781137507775,0.07883369330454479,0.10619150467962253,LOSS,-3.533333333332166,1
2012-02-22,SELL,105.79,105.63433333333334,106.52833333333335,104.74033333333334,0.17412378821774113,0.0,0.17412378821774113,WIN,14.566666666666151,1
2012-02-23,SELL,106.392,106.14300000000001,107.233,105.05300000000003,0.22844036697246192,0.2724770642201835,0.5009174311926454,LOSS,-25.8999999999981,35
2012-02-24,SELL,106.908,106.69266666666668,107.54866666666669,105.83666666666667,0.251557632398735,0.3224299065420484,0.5739875389407835,LOSS,-22.53333333333194,5
2012-02-25,SELL,109.092,108.33166666666666,110.52466666666666,106.13866666666667,0.3467092263261906,0.3912448700410419,0.7379540963672325,LOSS,-77.03333333333353,187
