pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2016-04-21,ABOVE,SELL1,SELL,130.0,124.169,124.133,TP,3.6,468.0,97224,97237
EURJPY,2016-04-22,BELOW,SELL1,SELL,100.0,123.585,124.96,SL,-137.5,-13750.0,97248,97260
EURJPY,2016-04-22,BELOW,BUY1,BUY,130.0,123.585,124.96,TP,137.5,17875.0,97248,97260
EURJPY,2016-04-23,ABOVE,BUY1,BUY,100.0,125.42,125.702,TP,28.2,2820.0,97272,97357
EURJPY,2016-04-23,ABOVE,SELL1,SELL,130.0,125.42,125.30199999999999,TP,11.8,1534.0,97272,97395
EURJPY,2016-04-25,BELOW,SELL1,SELL,100.0,125.175,124.961,TP,21.4,2140.0,97320,97320
EURJPY,2016-04-25,BELOW,BUY1,BUY,130.0,125.175,125.361,TP,18.6,2418.0,97320,97337
EURJPY,2016-04-26,ABOVE,BUY1,BUY,100.0,125.198,124.801,SL,-39.7,-3970.0,97344,97350
EURJPY,2016-04-26,ABOVE,SELL1,SELL,130.0,125.198,124.801,TP,39.7,5161.0,97344,97350
EURJPY,2016-04-27,ABOVE,BUY1,BUY,100.0,125.642,126.174,TP,53.2,5320.0,97368,97385
EURJPY,2016-04-27,ABOVE,SELL1,SELL,130.0,125.642,125.774,TP,-13.2,-1716.0,97368,97395
EURJPY,2016-04-28,ABOVE,BUY1,BUY,100.0,126.33,125.444,SL,-88.6,-8860.0,97392,97395
EURJPY,2016-04-28,ABOVE,SELL1,SELL,130.0,126.33,125.444,TP,88.6,11518.0,97392,97395
EURJPY,2016-04-29,BELOW,SELL1,SELL,100.0,122.78,122.321,TP,45.9,4590.0,97416,97417
EURJPY,2016-04-29,BELOW,BUY1,BUY,130.0,122.78,122.721,TP,-5.9,-767.0,97416,97429
EURJPY,2016-04-30,BELOW,SELL1,SELL,100.0,121.753,122.952,SL,-119.9,-11990.0,97440,97533
EURJPY,2016-04-30,BELOW,BUY1,BUY,130.0,121.753,122.952,TP,119.9,15587.0,97440,97533
EURJPY,2016-05-02,BELOW,SELL1,SELL,100.0,122.008,122.324,SL,-31.6,-3160.0,97488,97498
EURJPY,2016-05-02,BELOW,BUY1,BUY,130.0,122.008,122.324,TP,31.6,4108.0,97488,97498
EURJPY,2016-05-03,ABOVE,BUY1,BUY,100.0,122.634,123.117,TP,48.3,4830.0,97512,97533
EURJPY,2016-05-03,ABOVE,SELL1,SELL,130.0,122.634,122.717,TP,-8.3,-1079.0,97512,97534
EURJPY,2016-05-04,BELOW,SELL1,SELL,100.0,122.682,121.922,TP,76.0,7600.0,97536,97596
EURJPY,2016-05-04,BELOW,BUY1,BUY,130.0,122.682,122.322,TP,-36.0,-4680.0,97536,97655
EURJPY,2016-05-05,ABOVE,BUY1,BUY,100.0,122.882,122.297,SL,-58.5,-5850.0,97560,97572
EURJPY,2016-05-05,ABOVE,SELL1,SELL,130.0,122.882,122.297,TP,58.5,7605.0,97560,97572
EURJPY,2016-05-06,BELOW,SELL1,SELL,100.0,122.381,121.898,TP,48.3,4830.0,97584,97596
EURJPY,2016-05-06,BELOW,BUY1,BUY,130.0,122.381,122.298,TP,-8.3,-1079.0,97584,97603
EURJPY,2016-05-07,ABOVE,BUY1,BUY,100.0,122.124,122.658,TP,53.4,5340.0,97608,97661
EURJPY,2016-05-07,ABOVE,SELL1,SELL,130.0,122.124,122.669,TIME_EXIT,-54.5,-7085.0,97608,98039
EURJPY,2016-05-09,ABOVE,BUY1,BUY,100.0,122.235,122.58,TP,34.5,3450.0,97656,97661
EURJPY,2016-05-09,ABOVE,SELL1,SELL,130.0,122.235,122.78,TIME_EXIT,-54.5,-7085.0,97656,98087
EURJPY,2016-05-10,ABOVE,BUY1,BUY,100.0,123.354,123.907,TP,55.3,5530.0,97680,97686
EURJPY,2016-05-10,ABOVE,SELL1,SELL,130.0,123.354,123.50699999999999,TP,-15.3,-1989.0,97680,97758
EURJPY,2016-05-11,ABOVE,BUY1,BUY,100.0,124.213,124.643,TP,43.0,4300.0,97704,97737
EURJPY,2016-05-11,ABOVE,SELL1,SELL,130.0,124.213,124.243,TP,-3.0,-390.0,97704,97741
EURJPY,2016-05-12,BELOW,SELL1,SELL,100.0,123.859,124.285,SL,-42.6,-4260.0,97728,97732
EURJPY,2016-05-12,BELOW,BUY1,BUY,130.0,123.859,124.285,TP,42.6,5538.0,97728,97732
EURJPY,2016-05-13,BELOW,SELL1,SELL,100.0,124.082,123.48899999999999,TP,59.3,5930.0,97752,97758
EURJPY,2016-05-13,BELOW,BUY1,BUY,130.0,124.082,123.889,TP,-19.3,-2509.0,97752,97854
EURJPY,2016-05-14,BELOW,SELL1,SELL,100.0,122.806,124.126,SL,-132.0,-13200.0,97776,97856
EURJPY,2016-05-14,BELOW,BUY1,BUY,130.0,122.806,124.126,TP,132.0,17160.0,97776,97856
EURJPY,2016-05-16,ABOVE,BUY1,BUY,100.0,122.976,123.199,TP,22.3,2230.0,97824,97826
EURJPY,2016-05-16,ABOVE,SELL1,SELL,130.0,122.976,122.79899999999999,TP,17.7,2301.0,97824,98000
EURJPY,2016-05-17,ABOVE,BUY1,BUY,100.0,123.432,123.71000000000001,TP,27.8,2780.0,97848,97854
EURJPY,2016-05-17,ABOVE,SELL1,SELL,130.0,123.432,123.31,TP,12.2,1586.0,97848,97871
EURJPY,2016-05-18,BELOW,SELL1,SELL,100.0,123.341,123.023,TP,31.8,3180.0,97872,97873
EURJPY,2016-05-18,BELOW,BUY1,BUY,130.0,123.341,123.423,TP,8.2,1066.0,97872,97874
EURJPY,2016-05-19,ABOVE,BUY1,BUY,100.0,123.614,122.957,SL,-65.7,-6570.0,97896,97909
EURJPY,2016-05-19,ABOVE,SELL1,SELL,130.0,123.614,122.957,TP,65.7,8541.0,97896,97909
EURJPY,2016-05-20,BELOW,SELL1,SELL,100.0,123.127,123.778,SL,-65.1,-6510.0,97920,97928
EURJPY,2016-05-20,BELOW,BUY1,BUY,130.0,123.127,123.778,TP,65.1,8463.0,97920,97928
EURJPY,2016-05-21,ABOVE,BUY1,BUY,100.0,123.567,123.076,SL,-49.1,-4910.0,97944,97999
EURJPY,2016-05-21,ABOVE,SELL1,SELL,130.0,123.567,123.076,TP,49.1,6383.0,97944,97999
EURJPY,2016-05-23,BELOW,SELL1,SELL,100.0,123.459,123.233,TP,22.6,2260.0,97992,97993
EURJPY,2016-05-23,BELOW,BUY1,BUY,130.0,123.459,123.63300000000001,TP,17.4,2262.0,97992,98166
EURJPY,2016-05-24,BELOW,SELL1,SELL,100.0,122.643,123.521,SL,-87.8,-8780.0,98016,98165
EURJPY,2016-05-24,BELOW,BUY1,BUY,130.0,122.643,123.521,TP,87.8,11414.0,98016,98165
EURJPY,2016-05-25,ABOVE,BUY1,BUY,100.0,122.67,122.93,TP,26.0,2600.0,98040,98052
EURJPY,2016-05-25,ABOVE,SELL1,SELL,130.0,122.67,122.53,TP,14.0,1820.0,98040,98064
