pair,date,ref_mode,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2016-02-04,pivot,SELL1,SELL,130.0,1.10928,1.11218,TIME_EXIT,-29.0,-3770.0,103587,104018
EURUSD,2016-02-05,pivot,BUY1,BUY,100.0,1.11994,1.12589,TP,59.5,5950.0,103611,103720
EURUSD,2016-02-05,pivot,SELL1,SELL,130.0,1.11994,1.10696,TP,129.8,16874.0,103611,103960
EURUSD,2016-02-09,pivot,BUY1,BUY,100.0,1.1189,1.12359,TP,46.9,4690.0,103707,103710
EURUSD,2016-02-09,pivot,SELL1,SELL,130.0,1.1189,1.10865,TP,102.5,13325.0,103707,103935
EURUSD,2016-02-10,pivot,BUY1,BUY,100.0,1.1288,1.11624,SL,-125.6,-12560.0,103731,103746
EURUSD,2016-02-10,pivot,SELL1,SELL,130.0,1.1288,1.11624,TP,125.6,16328.0,103731,103746
EURUSD,2016-02-11,pivot,BUY1,BUY,100.0,1.12839,1.13315,TP,47.6,4760.0,103755,103763
EURUSD,2016-02-11,pivot,SELL1,SELL,130.0,1.12839,1.11606,TP,123.3,16029.0,103755,103865
EURUSD,2016-02-24,pivot,BUY1,BUY,100.0,1.10232,1.09901,SL,-33.1,-3310.0,104067,104076
EURUSD,2016-02-24,pivot,SELL1,SELL,130.0,1.10232,1.09901,TP,33.1,4303.0,104067,104076
EURUSD,2016-02-25,pivot,BUY1,BUY,100.0,1.1014,1.10661,TP,52.1,5210.0,104091,104119
EURUSD,2016-02-25,pivot,SELL1,SELL,130.0,1.1014,1.09573,TP,56.7,7371.0,104091,104129
EURUSD,2016-02-26,pivot,BUY1,BUY,100.0,1.10231,1.09867,SL,-36.4,-3640.0,104115,104128
EURUSD,2016-02-26,pivot,SELL1,SELL,130.0,1.10231,1.09867,TP,36.4,4732.0,104115,104128
EURUSD,2016-03-04,pivot,BUY1,BUY,100.0,1.09456,1.09927,TP,47.1,4710.0,104283,104297
EURUSD,2016-03-04,pivot,SELL1,SELL,130.0,1.09456,1.08536,TP,92.0,11960.0,104283,104439
EURUSD,2016-03-05,pivot,BUY1,BUY,100.0,1.10055,1.09034,SL,-102.1,-10210.0,104307,104439
EURUSD,2016-03-05,pivot,SELL1,SELL,130.0,1.10055,1.09034,TP,102.1,13273.0,104307,104439
EURUSD,2016-03-11,pivot,BUY1,BUY,100.0,1.11763,1.12379,TP,61.6,6160.0,104451,104590
EURUSD,2016-03-11,pivot,SELL1,SELL,130.0,1.11763,1.12007,TIME_EXIT,-24.4,-3172.0,104451,104882
EURUSD,2016-03-12,pivot,BUY1,BUY,100.0,1.11468,1.10803,SL,-66.5,-6650.0,104475,104541
EURUSD,2016-03-12,pivot,SELL1,SELL,130.0,1.11468,1.10803,TP,66.5,8645.0,104475,104541
EURUSD,2016-03-17,pivot,BUY1,BUY,100.0,1.12161,1.12621,TP,46.0,4600.0,104595,104603
EURUSD,2016-03-17,pivot,SELL1,SELL,130.0,1.12161,1.13946,TIME_EXIT,-178.5,-23205.0,104595,105026
EURUSD,2016-03-18,pivot,BUY1,BUY,100.0,1.13151,1.12055,SL,-109.6,-10960.0,104619,104723
EURUSD,2016-03-18,pivot,SELL1,SELL,130.0,1.13151,1.12055,TP,109.6,14248.0,104619,104723
EURUSD,2016-03-31,pivot,BUY1,BUY,100.0,1.13326,1.13854,TP,52.8,5280.0,104931,104942
EURUSD,2016-03-31,pivot,SELL1,SELL,130.0,1.13326,1.12863,TP,46.3,6019.0,104931,105256
EURUSD,2016-04-01,pivot,BUY1,BUY,100.0,1.13785,1.14318,TP,53.3,5330.0,104955,104967
EURUSD,2016-04-01,pivot,SELL1,SELL,130.0,1.13785,1.13101,TP,68.4,8892.0,104955,105252
EURUSD,2016-04-02,pivot,BUY1,BUY,100.0,1.13899,1.13347,SL,-55.2,-5520.0,104979,105086
EURUSD,2016-04-02,pivot,SELL1,SELL,130.0,1.13899,1.13347,TP,55.2,7176.0,104979,105086
EURUSD,2016-04-05,pivot,BUY1,BUY,100.0,1.13857,1.13574,SL,-28.3,-2830.0,105051,105058
EURUSD,2016-04-05,pivot,SELL1,SELL,130.0,1.13857,1.13574,TP,28.3,3679.0,105051,105058
EURUSD,2016-04-06,pivot,BUY1,BUY,100.0,1.13805,1.13359,SL,-44.6,-4460.0,105075,105086
EURUSD,2016-04-06,pivot,SELL1,SELL,130.0,1.13805,1.13359,TP,44.6,5798.0,105075,105086
EURUSD,2016-04-07,pivot,BUY1,BUY,100.0,1.14002,1.14516,TP,51.4,5140.0,105099,105105
EURUSD,2016-04-07,pivot,SELL1,SELL,130.0,1.14002,1.13266,TP,73.6,9568.0,105099,105252
EURUSD,2016-04-09,pivot,BUY1,BUY,100.0,1.1395,1.14393,TP,44.3,4430.0,105147,105208
EURUSD,2016-04-09,pivot,SELL1,SELL,130.0,1.1395,1.13491,TP,45.9,5967.0,105147,105233
EURUSD,2016-04-12,pivot,BUY1,BUY,100.0,1.14101,1.13723,SL,-37.8,-3780.0,105219,105232
EURUSD,2016-04-12,pivot,SELL1,SELL,130.0,1.14101,1.13723,TP,37.8,4914.0,105219,105232
EURUSD,2016-04-15,pivot,BUY1,BUY,100.0,1.1265,1.13148,TP,49.8,4980.0,105291,105305
EURUSD,2016-04-15,pivot,SELL1,SELL,130.0,1.1265,1.12339,TP,31.1,4043.0,105291,105475
EURUSD,2016-04-16,pivot,BUY1,BUY,100.0,1.12823,1.13369,TP,54.6,5460.0,105315,105393
EURUSD,2016-04-16,pivot,SELL1,SELL,130.0,1.12823,1.12457,TP,36.6,4758.0,105315,105472
EURUSD,2016-04-19,pivot,BUY1,BUY,100.0,1.13078,1.13521,TP,44.3,4430.0,105387,105399
EURUSD,2016-04-19,pivot,SELL1,SELL,130.0,1.13078,1.12737,TP,34.1,4433.0,105387,105449
EURUSD,2016-04-20,pivot,BUY1,BUY,100.0,1.13583,1.13034,SL,-54.9,-5490.0,105411,105428
EURUSD,2016-04-20,pivot,SELL1,SELL,130.0,1.13583,1.13034,TP,54.9,7137.0,105411,105428
EURUSD,2016-04-28,pivot,BUY1,BUY,100.0,1.13264,1.1381000000000001,TP,54.6,5460.0,105603,105628
EURUSD,2016-04-28,pivot,SELL1,SELL,130.0,1.13264,1.13172,TIME_EXIT,9.2,1196.0,105603,106034
EURUSD,2016-05-12,pivot,BUY1,BUY,100.0,1.1424,1.13724,SL,-51.6,-5160.0,105939,105955
EURUSD,2016-05-12,pivot,SELL1,SELL,130.0,1.1424,1.13724,TP,51.6,6708.0,105939,105955
EURUSD,2016-05-27,pivot,BUY1,BUY,100.0,1.11915,1.11542,SL,-37.3,-3730.0,106299,106311
EURUSD,2016-05-27,pivot,SELL1,SELL,130.0,1.11915,1.11542,TP,37.3,4849.0,106299,106311
EURUSD,2016-06-07,pivot,BUY1,BUY,100.0,1.13628,1.14126,TP,49.8,4980.0,106563,106612
EURUSD,2016-06-07,pivot,SELL1,SELL,130.0,1.13628,1.13263,TP,36.5,4745.0,106563,106623
EURUSD,2016-06-16,pivot,BUY1,BUY,100.0,1.1261,1.11897,SL,-71.3,-7130.0,106779,106790
EURUSD,2016-06-16,pivot,SELL1,SELL,130.0,1.1261,1.11897,TP,71.3,9269.0,106779,106790
EURUSD,2016-06-17,pivot,BUY1,BUY,100.0,1.12714,1.13149,TP,43.5,4350.0,106803,106872
EURUSD,2016-06-17,pivot,SELL1,SELL,130.0,1.12714,1.1131,TP,140.4,18252.0,106803,106973
EURUSD,2016-06-18,pivot,BUY1,BUY,100.0,1.12732,1.13162,TP,43.0,4300.0,106827,106872
EURUSD,2016-06-18,pivot,SELL1,SELL,130.0,1.12732,1.12231,TP,50.1,6513.0,106827,106972
EURUSD,2016-06-23,pivot,BUY1,BUY,100.0,1.13257,1.13675,TP,41.8,4180.0,106947,106956
EURUSD,2016-06-23,pivot,SELL1,SELL,130.0,1.13257,1.12366,TP,89.1,11583.0,106947,106972
EURUSD,2016-06-29,pivot,BUY1,BUY,100.0,1.10753,1.11316,TP,56.3,5630.0,107091,107123
EURUSD,2016-06-29,pivot,SELL1,SELL,130.0,1.10753,1.10128,TP,62.5,8125.0,107091,107319
EURUSD,2016-07-01,pivot,BUY1,BUY,100.0,1.11029,1.11745,TP,71.6,7160.0,107139,107242
EURUSD,2016-07-01,pivot,SELL1,SELL,130.0,1.11029,1.10241,TP,78.8,10244.0,107139,107319
EURUSD,2016-07-02,pivot,BUY1,BUY,100.0,1.11365,1.1072,SL,-64.5,-6450.0,107163,107251
EURUSD,2016-07-02,pivot,SELL1,SELL,130.0,1.11365,1.1072,TP,64.5,8385.0,107163,107251
EURUSD,2016-07-14,pivot,BUY1,BUY,100.0,1.10948,1.11399,TP,45.1,4510.0,107451,107462
EURUSD,2016-07-14,pivot,SELL1,SELL,130.0,1.10948,1.1042,TP,52.8,6864.0,107451,107495
EURUSD,2016-07-22,pivot,BUY1,BUY,100.0,1.1032,1.09796,SL,-52.4,-5240.0,107643,107657
EURUSD,2016-07-22,pivot,SELL1,SELL,130.0,1.1032,1.09796,TP,52.4,6812.0,107643,107657
EURUSD,2016-07-30,pivot,BUY1,BUY,100.0,1.11726,1.12174,TP,44.8,4480.0,107835,107921
EURUSD,2016-07-30,pivot,SELL1,SELL,130.0,1.11726,1.10727,TP,99.9,12987.0,107835,107992
EURUSD,2016-08-16,pivot,BUY1,BUY,100.0,1.11819,1.12234,TP,41.5,4150.0,108243,108249
EURUSD,2016-08-16,pivot,SELL1,SELL,130.0,1.11819,1.11538,TP,28.1,3653.0,108243,108591
EURUSD,2016-08-17,pivot,BUY1,BUY,100.0,1.12759,1.13423,TP,66.4,6640.0,108267,108308
EURUSD,2016-08-17,pivot,SELL1,SELL,130.0,1.12759,1.11774,TP,98.5,12805.0,108267,108552
EURUSD,2016-09-13,pivot,BUY1,BUY,100.0,1.12404,1.12103,SL,-30.1,-3010.0,108915,108933
EURUSD,2016-09-13,pivot,SELL1,SELL,130.0,1.12404,1.12103,TP,30.1,3913.0,108915,108933
EURUSD,2016-09-15,pivot,BUY1,BUY,100.0,1.1245,1.12137,SL,-31.3,-3130.0,108963,108999
EURUSD,2016-09-15,pivot,SELL1,SELL,130.0,1.1245,1.12137,TP,31.3,4069.0,108963,108999
EURUSD,2016-09-27,pivot,BUY1,BUY,100.0,1.12501,1.12211,SL,-29.0,-2900.0,109251,109263
EURUSD,2016-09-27,pivot,SELL1,SELL,130.0,1.12501,1.12211,TP,29.0,3770.0,109251,109263
EURUSD,2016-10-05,pivot,BUY1,BUY,100.0,1.12091,1.11379,SL,-71.2,-7120.0,109443,109490
EURUSD,2016-10-05,pivot,SELL1,SELL,130.0,1.12091,1.11379,TP,71.2,9256.0,109443,109490
EURUSD,2016-11-03,pivot,BUY1,BUY,100.0,1.1094,1.10496,SL,-44.4,-4440.0,110139,110243
EURUSD,2016-11-03,pivot,SELL1,SELL,130.0,1.1094,1.10496,TP,44.4,5772.0,110139,110243
EURUSD,2016-11-04,pivot,BUY1,BUY,100.0,1.10994,1.10596,SL,-39.8,-3980.0,110163,110233
EURUSD,2016-11-04,pivot,SELL1,SELL,130.0,1.10994,1.10596,TP,39.8,5174.0,110163,110233
EURUSD,2016-11-23,pivot,BUY1,BUY,100.0,1.06332,1.05836,SL,-49.6,-4960.0,110619,110632
EURUSD,2016-11-23,pivot,SELL1,SELL,130.0,1.06332,1.05836,TP,49.6,6448.0,110619,110632
EURUSD,2016-11-25,pivot,BUY1,BUY,100.0,1.05601,1.06052,TP,45.1,4510.0,110667,110674
EURUSD,2016-11-25,pivot,SELL1,SELL,130.0,1.05601,1.0518,TP,42.1,5473.0,110667,110906
EURUSD,2016-11-26,pivot,BUY1,BUY,100.0,1.05901,1.06473,TP,57.2,5720.0,110691,110740
EURUSD,2016-11-26,pivot,SELL1,SELL,130.0,1.05901,1.05384,TP,51.7,6721.0,110691,110905
EURUSD,2016-12-03,pivot,BUY1,BUY,100.0,1.06632,1.06253,SL,-37.9,-3790.0,110859,110905
EURUSD,2016-12-03,pivot,SELL1,SELL,130.0,1.06632,1.06253,TP,37.9,4927.0,110859,110905
EURUSD,2016-12-06,pivot,BUY1,BUY,100.0,1.07564,1.08163,TP,59.9,5990.0,110931,110991
EURUSD,2016-12-06,pivot,SELL1,SELL,130.0,1.07564,1.05374,TP,219.0,28470.0,110931,111018
EURUSD,2016-12-17,pivot,BUY1,BUY,100.0,1.04483,1.04008,SL,-47.5,-4750.0,111195,111262
EURUSD,2016-12-17,pivot,SELL1,SELL,130.0,1.04483,1.04008,TP,47.5,6175.0,111195,111262
EURUSD,2016-12-21,pivot,BUY1,BUY,100.0,1.03907,1.04378,TP,47.1,4710.0,111291,111304
EURUSD,2016-12-21,pivot,SELL1,SELL,130.0,1.03907,1.03523,TP,38.4,4992.0,111291,111618
EURUSD,2016-12-22,pivot,BUY1,BUY,100.0,1.04263,1.04711,TP,44.8,4480.0,111315,111330
EURUSD,2016-12-22,pivot,SELL1,SELL,130.0,1.04263,1.03824,TP,43.9,5707.0,111315,111476
EURUSD,2016-12-30,pivot,BUY1,BUY,100.0,1.05657,1.04139,SL,-151.8,-15180.0,111507,111612
EURUSD,2016-12-30,pivot,SELL1,SELL,130.0,1.05657,1.04139,TP,151.8,19734.0,111507,111612
EURUSD,2017-01-04,pivot,BUY1,BUY,100.0,1.04174,1.05101,TP,92.7,9270.0,111627,111651
EURUSD,2017-01-04,pivot,SELL1,SELL,130.0,1.04174,1.0699,TIME_EXIT,-281.6,-36608.0,111627,112058
EURUSD,2017-01-12,pivot,BUY1,BUY,100.0,1.05942,1.06429,TP,48.7,4870.0,111819,111826
EURUSD,2017-01-12,pivot,SELL1,SELL,130.0,1.05942,1.07169,TIME_EXIT,-122.7,-15951.0,111819,112250
EURUSD,2017-01-14,pivot,BUY1,BUY,100.0,1.0642,1.05961,SL,-45.9,-4590.0,111867,111923
EURUSD,2017-01-14,pivot,SELL1,SELL,130.0,1.0642,1.05961,TP,45.9,5967.0,111867,111923
EURUSD,2017-01-18,pivot,BUY1,BUY,100.0,1.06966,1.06007,SL,-95.9,-9590.0,111963,112001
EURUSD,2017-01-18,pivot,SELL1,SELL,130.0,1.06966,1.06007,TP,95.9,12467.0,111963,112001
EURUSD,2017-01-28,pivot,BUY1,BUY,100.0,1.06958,1.06584,SL,-37.4,-3740.0,112203,112262
EURUSD,2017-01-28,pivot,SELL1,SELL,130.0,1.06958,1.06584,TP,37.4,4862.0,112203,112262
EURUSD,2017-01-31,pivot,BUY1,BUY,100.0,1.07075,1.07602,TP,52.7,5270.0,112275,112287
EURUSD,2017-01-31,pivot,SELL1,SELL,130.0,1.07075,1.06203,TP,87.2,11336.0,112275,112528
EURUSD,2017-02-09,pivot,BUY1,BUY,100.0,1.0691,1.06407,SL,-50.3,-5030.0,112491,112522
EURUSD,2017-02-09,pivot,SELL1,SELL,130.0,1.0691,1.06407,TP,50.3,6539.0,112491,112522
EURUSD,2017-02-11,pivot,BUY1,BUY,100.0,1.06397,1.06077,SL,-32.0,-3200.0,112539,112601
EURUSD,2017-02-11,pivot,SELL1,SELL,130.0,1.06397,1.06077,TP,32.0,4160.0,112539,112601
EURUSD,2017-02-23,pivot,BUY1,BUY,100.0,1.05505,1.0594,TP,43.5,4350.0,112827,112842
EURUSD,2017-02-23,pivot,SELL1,SELL,130.0,1.05505,1.06894,TIME_EXIT,-138.9,-18057.0,112827,113258
EURUSD,2017-03-10,pivot,BUY1,BUY,100.0,1.05794,1.06351,TP,55.7,5570.0,113187,113200
EURUSD,2017-03-10,pivot,SELL1,SELL,130.0,1.05794,1.08608,TIME_EXIT,-281.4,-36582.0,113187,113618
EURUSD,2017-03-11,pivot,BUY1,BUY,100.0,1.06728,1.0719,TP,46.2,4620.0,113211,113327
EURUSD,2017-03-11,pivot,SELL1,SELL,130.0,1.06728,1.08162,TIME_EXIT,-143.4,-18642.0,113211,113642
EURUSD,2017-04-18,pivot,BUY1,BUY,100.0,1.06432,1.06903,TP,47.1,4710.0,114123,114135
EURUSD,2017-04-18,pivot,SELL1,SELL,130.0,1.06432,1.09703,SL,-327.1,-42523.0,114123,114523
EURUSD,2017-04-24,pivot,BUY1,BUY,100.0,1.08733,1.09364,TP,63.1,6310.0,114267,114306
EURUSD,2017-04-24,pivot,SELL1,SELL,130.0,1.08733,1.08642,TIME_EXIT,9.1,1183.0,114267,114698
EURUSD,2017-04-26,pivot,BUY1,BUY,100.0,1.09277,1.09699,TP,42.2,4220.0,114315,114523
EURUSD,2017-04-26,pivot,SELL1,SELL,130.0,1.09277,1.08512,TP,76.5,9945.0,114315,114687
EURUSD,2017-04-27,pivot,BUY1,BUY,100.0,1.09083,1.08557,SL,-52.6,-5260.0,114339,114352
EURUSD,2017-04-27,pivot,SELL1,SELL,130.0,1.09083,1.08557,TP,52.6,6838.0,114339,114352
EURUSD,2017-05-23,pivot,BUY1,BUY,100.0,1.12371,1.11614,SL,-75.7,-7570.0,114963,115048
EURUSD,2017-05-23,pivot,SELL1,SELL,130.0,1.12371,1.11614,TP,75.7,9841.0,114963,115048
EURUSD,2017-05-31,pivot,BUY1,BUY,100.0,1.11728,1.12254,TP,52.6,5260.0,115155,115166
EURUSD,2017-05-31,pivot,SELL1,SELL,130.0,1.11728,1.11968,TIME_EXIT,-24.0,-3120.0,115155,115586
EURUSD,2017-06-06,pivot,BUY1,BUY,100.0,1.12572,1.12342,SL,-23.0,-2300.0,115299,115333
EURUSD,2017-06-06,pivot,SELL1,SELL,130.0,1.12572,1.12342,TP,23.0,2990.0,115299,115333
EURUSD,2017-06-08,pivot,BUY1,BUY,100.0,1.12554,1.12039,SL,-51.5,-5150.0,115347,115359
EURUSD,2017-06-08,pivot,SELL1,SELL,130.0,1.12554,1.12039,TP,51.5,6695.0,115347,115359
EURUSD,2017-06-10,pivot,BUY1,BUY,100.0,1.11941,1.12357,TP,41.6,4160.0,115395,115503
EURUSD,2017-06-10,pivot,SELL1,SELL,130.0,1.11941,1.11663,TP,27.8,3614.0,115395,115524
EURUSD,2017-07-06,pivot,BUY1,BUY,100.0,1.13465,1.13885,TP,42.0,4200.0,116019,116031
EURUSD,2017-07-06,pivot,SELL1,SELL,130.0,1.13465,1.16685,SL,-322.0,-41860.0,116019,116385
EURUSD,2017-07-19,pivot,BUY1,BUY,100.0,1.15477,1.16031,TP,55.4,5540.0,116331,116369
EURUSD,2017-07-19,pivot,SELL1,SELL,130.0,1.15477,1.18831,SL,-335.4,-43602.0,116331,116684
EURUSD,2017-07-21,pivot,BUY1,BUY,100.0,1.16283,1.1678,TP,49.7,4970.0,116379,116396
EURUSD,2017-07-21,pivot,SELL1,SELL,130.0,1.16283,1.17995,TIME_EXIT,-171.2,-22256.0,116379,116810
EURUSD,2017-08-01,pivot,BUY1,BUY,100.0,1.18207,1.18654,TP,44.7,4470.0,116643,116675
EURUSD,2017-08-01,pivot,SELL1,SELL,130.0,1.18207,1.17231,TP,97.6,12688.0,116643,116826
EURUSD,2017-08-12,pivot,BUY1,BUY,100.0,1.18199,1.17485,SL,-71.4,-7140.0,116907,116985
EURUSD,2017-08-12,pivot,SELL1,SELL,130.0,1.18199,1.17485,TP,71.4,9282.0,116907,116985
