seed,days,cal_ppd,total_pips,wins,losses,time_exits
155,7038,-2.030220843484593,-14288.694296444566,1040,1709,4289
156,7038,-1.2484594477803845,-8786.657593478347,1063,1649,4326
157,7038,-0.28952187299326354,-2037.6549421265888,1079,1633,4326
158,7038,-0.4115100946118819,-2896.208045878425,1100,1627,4311
159,7038,-0.8380633209889928,-5898.2896531205315,1098,1637,4303
160,7038,-0.48937739789575846,-3444.238126390348,1065,1657,4316
161,7038,-0.14235470117281177,-1001.8923868542491,1077,1629,4332
162,7038,-0.1380581284742566,-971.653108201818,1119,1637,4282
163,7038,-1.574756090919668,-11083.133367892624,1065,1675,4298
164,7038,-0.6450907434597951,-4540.148652470038,1083,1661,4294
165,7038,-0.4137110367291104,-2911.698276499479,1094,1634,4310
166,7038,-0.41961957247318654,-2953.282551066287,1105,1620,4313
167,7038,-0.8046662114258131,-5663.240796014872,1090,1637,4311
168,7038,-0.08503780658531684,-598.4960827474599,1089,1629,4320
169,7038,-0.660652583467992,-4649.672882447728,1081,1645,4312
170,7038,-0.7968368071901584,-5608.1374490043345,1077,1632,4329
171,7038,-1.181936243286494,-8318.467280250345,1094,1627,4317
172,7038,-0.14240018464538615,-1002.2124995342276,1085,1620,4333
173,7038,-1.1218274980671663,-7895.421931396717,1080,1649,4309
174,7038,-0.9783706564202898,-6885.772679885999,1092,1631,4315
175,7038,-0.8306110072438948,-5845.840268982532,1065,1672,4301
176,7038,-1.6399438952697623,-11541.925134908586,1059,1680,4299
177,7038,-0.6369584743304608,-4482.913742337783,1109,1610,4319
178,7038,-0.7326662613585031,-5156.505147441145,1077,1657,4304
179,7038,-1.9855928659199569,-13974.602590344657,1044,1683,4311
180,7038,-0.08011729423125838,-563.8655167995964,1089,1623,4326
181,7038,-1.8874798282035825,-13284.083030896814,1029,1719,4290
182,7038,-1.116761542288214,-7859.76773462445,1062,1653,4323
183,7038,-1.9455463925191097,-13692.755510549494,1031,1700,4307
184,7038,-0.7751977979893389,-5455.8421022489665,1075,1656,4307
185,7038,-1.59750955500576,-11243.272248130539,1052,1680,4306
186,7038,-0.7084064857300194,-4985.764846567877,1075,1632,4331
187,7038,-0.8953850343413079,-6301.719871694125,1070,1641,4327
188,7038,-0.6938701640460511,-4883.458214556107,1054,1648,4336
189,7038,-0.3633071377271891,-2556.955635323957,1116,1625,4297
190,7038,0.2513268491082551,1768.8383640238992,1121,1562,4355
191,7038,-0.36043507182179874,-2536.7420354818196,1101,1633,4304
192,7038,-1.493542352049283,-10511.551073722854,1082,1670,4286
193,7038,-0.14005485405334672,-985.7060628274542,1131,1615,4292
194,7038,-0.482377494990419,-3394.9728097425686,1091,1633,4314
195,7038,-1.4371836653979133,-10114.898637070513,1057,1659,4322
196,7038,-0.9915346827956324,-6978.421097515661,1085,1620,4333
197,7038,-0.4392072546345333,-3091.1406581178453,1072,1636,4330
198,7038,0.12903817790370722,908.1706960862915,1096,1598,4344
199,7038,-0.3374660535469134,-2375.0860848631764,1079,1622,4337
