side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
SELL,00-05%,Q2,46,29,17,2.5655172413793803,8.948137254902075,-1.6895289855072446,-0.028609037362615882,74.40000000000202,152.11833333333527,adx14,0.6304347826086957,0.28670964339241756,0.4890929210811829
SELL,00-05%,Q1,47,30,17,2.0277777777776294,7.761764705882372,-1.5131205673759882,-0.04531267484058027,60.83333333332888,131.95000000000033,adx14,0.6382978723404256,0.2612521578038622,0.4610332196538744
SELL,00-05%,Q5,46,30,16,3.533333333333142,31.509999999999593,-8.655652173913026,-0.08448845182889668,105.99999999999426,504.1599999999935,adx14,0.6521739130434783,0.11213371416481077,0.2102507140590202
SELL,00-05%,Q4,50,31,19,2.1268817204303994,13.343333333333367,-3.7517999999998324,-0.08825345922775629,65.93333333334238,253.523333333334,adx14,0.62,0.15939658159608247,0.26006810681466086
SELL,05-10%,Q5,53,47,6,8.476595744680928,41.51666666666686,2.816981132075518,0.009441208933492946,398.4000000000036,249.10000000000116,adx14,0.8867924528301887,0.2041733218309327,1.5993576876756392
SELL,05-10%,Q1,60,53,7,6.3905660377359865,43.95452380952461,0.5169722222222503,-0.0030749831078771012,338.70000000000726,307.68166666667224,adx14,0.8833333333333333,0.14539040544334597,1.1008130697853338
SELL,05-10%,Q2,41,34,7,7.008823529411887,42.835238095238076,-1.5011382113820089,-0.06075339441995907,238.30000000000416,299.8466666666665,adx14,0.8292682926829268,0.16362284514046035,0.7947395335393789
SELL,05-10%,Q4,41,34,7,5.7352941176474115,68.54380952380988,-6.946504065040419,-0.07260759868270046,195.000000000012,479.8066666666692,adx14,0.8292682926829268,0.08367340767155869,0.40641369440471364
SELL,05-10%,Q3,43,31,12,6.974193548386941,37.295972222222396,-5.380271317829619,-0.1875764535482715,216.19999999999516,447.5516666666688,adx14,0.7209302325581395,0.18699589078499593,0.4830727178612394
SELL,10-15%,Q5,44,39,5,13.933333333333326,45.21000000000049,7.21249999999994,0.12520820908778132,543.3999999999997,226.05000000000246,adx14,0.8863636363636364,0.3081914030819105,2.403892944038902
SELL,10-15%,Q1,59,50,9,11.50533333333334,42.79740740740717,3.221864406779703,0.06160062788707432,575.266666666667,385.1766666666645,adx14,0.847457627118644,0.2688324837953163,1.4935137988628686
SELL,10-15%,Q3,47,40,7,11.231666666666499,38.87880952380931,3.7684042553190378,0.05897231827349956,449.26666666665994,272.15166666666516,adx14,0.851063829787234,0.28888916106827417,1.6507952061044238
SELL,10-15%,Q4,51,41,10,14.008130081300644,49.676833333333036,1.5208823529411006,0.018415108428803943,574.3333333333264,496.76833333333036,adx14,0.803921568627451,0.2819851657472946,1.1561391795639078
SELL,10-15%,Q2,47,36,11,11.587962962962685,48.15166666666655,-2.3936524822696885,-0.038657925040951786,417.1666666666567,529.668333333332,adx14,0.7659574468085106,0.24065549056030003,0.7875997872882546
SELL,15-20%,Q5,54,43,11,22.017054263566195,55.070151515150854,6.314104938271981,0.1372242376883054,946.7333333333463,605.7716666666594,adx14,0.7962962962962963,0.39980013960028565,1.562855091164753
SELL,15-20%,Q4,44,34,10,16.83431372549031,32.688166666666575,5.579204545454655,0.10377258631053178,572.3666666666705,326.88166666666575,adx14,0.7727272727272727,0.5149971822267086,1.7509904195708095
SELL,15-20%,Q1,55,42,13,17.079365079364774,31.60320512820552,5.572575757575433,0.07709851102297034,717.3333333333205,410.84166666667176,adx14,0.7636363636363637,0.5404314217522711,1.7460092087381067
SELL,15-20%,Q3,56,39,17,17.91880341880345,46.975294117646534,-1.7811904761902966,-0.009278012016258596,698.8333333333345,798.5799999999911,adx14,0.6964285714285714,0.3814516493271332,0.8750949602210704
SELL,15-20%,Q2,60,41,19,16.106504065040543,44.707543859649434,-3.151277777777949,-0.0368311542184457,660.3666666666622,849.4433333333392,adx14,0.6833333333333333,0.3602636753117942,0.7774110888307139
SELL,20-25%,Q3,59,40,19,27.02916666666672,45.27315789473678,3.7453672316384723,0.10867838248225466,1081.1666666666688,860.1899999999988,adx14,0.6779661016949152,0.5970241070771206,1.2568928570044644
SELL,20-25%,Q5,71,47,24,38.38226950354639,45.35374999999956,10.077136150235084,0.09668520225028308,1803.9666666666803,1088.4899999999893,adx14,0.6619718309859155,0.846286569545997,1.6573111986942444
SELL,20-25%,Q4,68,41,27,28.34634146341501,52.840740740740316,-3.889705882352549,-0.01936075596165478,1162.2000000000153,1426.6999999999884,adx14,0.6029411764705882,0.5364486013262854,0.8146071353473223
SELL,20-25%,Q1,82,49,33,26.1013605442179,33.87732323232317,1.9635975609757628,-0.02564662041824138,1278.9666666666772,1117.9516666666646,adx14,0.5975609756097561,0.77046702790597,1.1440267990118949
SELL,20-25%,Q2,69,37,32,28.043243243243307,44.74739583333343,-5.714734299516917,-0.1275631676135725,1037.6000000000024,1431.9166666666697,adx14,0.5362318840579711,0.6267011235177447,0.7246231740673923
SELL,25-30%,Q2,79,44,35,30.403030303030153,35.78214285714286,1.080485232067428,0.07393473405459612,1337.7333333333268,1252.375,adx14,0.5569620253164557,0.8496704745831363,1.0681571680473714
SELL,25-30%,Q1,69,37,32,31.339639639639362,32.69031250000005,1.644589371980504,0.030943007558235588,1159.5666666666564,1046.0900000000015,adx14,0.5362318840579711,0.9586827791762259,1.1084769634225111
