pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
USDJPY,2018-12-26,ABOVE,SELL1,SELL,130.0,110.436,110.244,TP,19.2,2496.0,134880,134938
USDJPY,2018-12-26,ABOVE,SELL2,SELL,130.0,110.999,110.244,TP,75.5,9815.0,134899,134938
USDJPY,2018-12-27,ABOVE,BUY1,BUY,100.0,111.224,110.279,SL,-94.5,-9450.0,134904,134938
USDJPY,2018-12-27,ABOVE,SELL1,SELL,130.0,111.224,110.279,TP,94.5,12285.0,134904,134938
USDJPY,2018-12-28,ABOVE,BUY1,BUY,100.0,110.846,110.455,SL,-39.1,-3910.0,134928,134935
USDJPY,2018-12-28,ABOVE,SELL1,SELL,130.0,110.846,110.455,TP,39.1,5083.0,134928,134935
USDJPY,2018-12-29,BELOW,SELL1,SELL,100.0,110.239,109.942,TP,29.7,2970.0,134952,135011
USDJPY,2018-12-29,BELOW,BUY1,BUY,130.0,110.239,107.142,SL,-309.7,-40261.0,134952,135070
USDJPY,2018-12-29,BELOW,BUY2,BUY,130.0,109.94,107.142,SL,-279.8,-36374.0,135011,135070
USDJPY,2018-12-31,BELOW,SELL1,SELL,100.0,110.32,110.419,SL,-9.9,-990.0,135000,135002
USDJPY,2018-12-31,BELOW,BUY1,BUY,130.0,110.32,110.419,TP,9.9,1287.0,135000,135002
USDJPY,2019-01-01,BELOW,SELL1,SELL,100.0,109.556,109.354,TP,20.2,2020.0,135024,135050
USDJPY,2019-01-01,BELOW,BUY1,BUY,130.0,109.556,106.554,SL,-300.2,-39026.0,135024,135070
USDJPY,2019-01-01,BELOW,BUY2,BUY,130.0,109.475,106.554,SL,-292.1,-37973.0,135050,135070
USDJPY,2019-01-02,ABOVE,BUY1,BUY,100.0,109.669,109.556,SL,-11.3,-1130.0,135048,135048
USDJPY,2019-01-02,ABOVE,SELL1,SELL,130.0,109.669,109.556,TP,11.3,1469.0,135048,135048
USDJPY,2019-01-03,ABOVE,BUY1,BUY,100.0,107.433,109.88000000000001,TP,244.7,24470.0,135072,135450
USDJPY,2019-01-03,ABOVE,SELL1,SELL,130.0,107.433,109.681,TIME_EXIT,-224.8,-29224.0,135072,135503
USDJPY,2019-01-03,ABOVE,SELL2,SELL,130.0,105.736,109.681,TIME_EXIT,-394.5,-51285.0,135450,135503
USDJPY,2019-01-04,ABOVE,BUY1,BUY,100.0,107.848,108.504,TP,65.6,6560.0,135096,135110
USDJPY,2019-01-04,ABOVE,SELL1,SELL,130.0,107.848,108.104,TP,-25.6,-3328.0,135096,135111
USDJPY,2019-01-04,ABOVE,SELL2,SELL,130.0,107.746,108.104,TP,-35.8,-4654.0,135110,135111
USDJPY,2019-01-05,ABOVE,BUY1,BUY,100.0,108.518,108.789,TP,27.1,2710.0,135120,135195
USDJPY,2019-01-05,ABOVE,SELL1,SELL,130.0,108.518,108.389,TP,12.9,1677.0,135120,135231
USDJPY,2019-01-05,ABOVE,SELL2,SELL,130.0,108.512,108.389,TP,12.3,1599.0,135195,135231
USDJPY,2019-01-07,ABOVE,BUY1,BUY,100.0,108.55,108.352,SL,-19.8,-1980.0,135168,135169
USDJPY,2019-01-07,ABOVE,SELL1,SELL,130.0,108.55,108.352,TP,19.8,2574.0,135168,135169
USDJPY,2019-01-08,ABOVE,BUY1,BUY,100.0,108.627,108.947,TP,32.0,3200.0,135192,135196
USDJPY,2019-01-08,ABOVE,SELL1,SELL,130.0,108.627,108.547,TP,8.0,1040.0,135192,135208
USDJPY,2019-01-08,ABOVE,SELL2,SELL,130.0,109.019,108.547,TP,47.2,6136.0,135199,135208
