side,bucket,indicator_bucket,trades,positive_trades,avg_positive_pips,median_positive_pips,positive_rate,avg_all_pips,pivot_first_rate,indicator
SELL,15-20%,ATR_Q5,60,48.0,26.2638888888892,24.433333333334218,0.8,5.701694444444802,0.8,atr_bucket
SELL,15-20%,ATR_Q4,75,55.0,20.249696969696878,20.599999999997976,0.7333333333333333,3.2725777777777503,0.7333333333333333,atr_bucket
SELL,15-20%,ATR_Q2,43,32.0,13.337499999999892,12.49999999999909,0.7441860465116279,1.1260465116277276,0.7441860465116279,atr_bucket
SELL,15-20%,ATR_Q3,58,41.0,13.276422764227412,13.633333333333098,0.7068965517241379,-0.5624425287357586,0.7068965517241379,atr_bucket
SELL,15-20%,ATR_Q1,33,23.0,10.873913043478423,11.033333333333474,0.696969696969697,0.02338383838392004,0.696969696969697,atr_bucket
SELL,20-25%,ATR_Q5,109,69.0,45.49758454106294,44.43333333333521,0.6330275229357798,5.2302752293579395,0.6330275229357798,atr_bucket
SELL,20-25%,ATR_Q4,74,42.0,28.287301587301936,26.76666666666685,0.5675675675675675,-2.6508783783781054,0.5675675675675675,atr_bucket
SELL,20-25%,ATR_Q3,65,39.0,24.509401709401825,21.966666666664537,0.6,0.3020256410258379,0.6,atr_bucket
SELL,20-25%,ATR_Q2,65,41.0,18.178861788617983,17.533333333331825,0.6307692307692307,1.291410256410262,0.6307692307692307,atr_bucket
SELL,20-25%,ATR_Q1,36,23.0,14.578260869565705,15.266666666666652,0.6388888888888888,-1.0793518518513676,0.6388888888888888,atr_bucket
SELL,25-30%,ATR_Q5,69,40.0,50.48000000000007,48.66666666666626,0.5797101449275363,5.473695652173966,0.5797101449275363,atr_bucket
SELL,25-30%,ATR_Q4,85,45.0,35.011111111110544,34.33333333333388,0.5294117647058824,-1.0010980392160906,0.5294117647058824,atr_bucket
SELL,25-30%,ATR_Q3,87,45.0,27.2288888888888,27.199999999998223,0.5172413793103449,-2.872394636015543,0.5172413793103449,atr_bucket
SELL,25-30%,ATR_Q2,57,24.0,21.294444444444455,21.100000000000364,0.42105263157894735,-5.996432748537859,0.42105263157894735,atr_bucket
SELL,25-30%,ATR_Q1,37,18.0,18.34814814814803,18.650000000000745,0.4864864864864865,-1.3517567567569115,0.4864864864864865,atr_bucket
SELL,30-35%,ATR_Q5,50,24.0,46.31249999999978,50.48333333333284,0.48,3.414333333333076,0.48,atr_bucket
SELL,30-35%,ATR_Q4,46,17.0,40.858823529411346,39.13333333333407,0.3695652173913043,-4.10768115942024,0.3695652173913043,atr_bucket
SELL,30-35%,ATR_Q3,34,15.0,27.56444444444416,29.699999999998795,0.4411764705882353,-4.483137254901938,0.4411764705882353,atr_bucket
