source,date,entry_px,exit_px,net_pips
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-19,135.66,136.64976,97.9764
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-20,136.05667,137.06413,99.7467
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-23,136.15533,137.08347,91.814
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-02-24,136.02333,136.95083,91.7494
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-03-04,133.87,134.9401,106.0105
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-03-22,131.17233,132.44908,126.6747
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-03-29,128.03633,129.29333,124.6996
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-04,126.76,128.06634,129.6335
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-05,126.36333,127.62901,125.5676
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-06,126.40667,127.66904,125.237
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-07,127.76333,129.10518,133.1851
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-14,127.19,128.39502,119.5022
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-18,129.36,130.58573,121.5735
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-19,129.39,130.55743,115.7432
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-21,129.31333,130.55344,123.0102
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-22,129.19333,130.44431,124.0973
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-25,129.04,130.28185,123.1848
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-26,128.82,130.00434,117.4344
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-27,128.76667,129.93466,115.7998
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-28,129.97333,131.22625,124.292
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-04-29,130.16,131.40143,123.1426
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-04,131.77,132.85403,107.4032
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-05,132.31,133.41605,109.6051
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-06,132.18667,133.30666,110.9998
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-07,132.63667,133.76181,111.5148
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-09,133.46,134.51878,104.8776
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-10,133.69667,134.73832,103.1649
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-14,135.15667,136.30031,113.3643
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-16,135.53,136.5931,105.3097
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-17,135.94333,136.97599,102.2662
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-21,135.16333,136.35731,118.3973
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-23,134.72,135.81972,108.9716
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-24,134.66333,135.73,105.6665
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-25,135.25667,136.35309,108.6424
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-05-27,135.24,136.31111,106.1115
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-01,133.85333,134.92202,105.8686
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-02,134.79,135.92145,112.1451
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-03,134.82,135.99673,116.6733
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-04,135.33667,136.57755,123.0881
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-11,132.30667,133.5608,124.413
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-12,132.21267,133.41544,119.2769
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-13,132.21,133.32764,110.7637
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-14,132.05,133.13136,107.1356
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-25,130.52,131.61364,108.3643
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-27,131.05,132.0497,98.9696
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-28,130.89,131.83909,93.9089
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-29,131.35667,132.31141,94.4747
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-06-30,131.26667,132.25267,97.6001
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-04,133.46,134.50329,103.329
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-05,133.62,134.61347,98.347
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-06,134.05667,135.03962,97.2957
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-12,133.82,134.71338,88.3379
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-13,134.30333,135.22715,91.3816
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-14,134.08,135.01128,92.1279
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-25,133.25,134.15458,89.4576
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-26,133.20667,134.07458,85.7914
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-07-27,133.35667,134.22564,85.897
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-03,133.48,134.31865,82.8654
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-04,133.25333,134.08343,82.01
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-05,133.78667,134.62832,83.1657
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-06,134.48333,135.34482,85.1489
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-08,135.68,136.50427,81.4269
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-09,135.49,136.27944,77.9442
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-10,135.62667,136.40782,77.1154
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-12,135.59667,136.41688,81.0214
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-28,132.031,132.92574,88.4744
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-29,131.62,132.45772,82.7723
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-30,131.68,132.48324,79.3236
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-08-31,132.33333,133.15525,81.1912
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-01,132.83667,133.68437,83.7704
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-17,133.45667,134.21502,74.8355
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-24,135.95,136.70873,74.8726
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-25,135.90167,136.6647,75.3031
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-26,135.83,136.54405,70.4054
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-09-27,135.79667,136.47922,67.255
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-15,135.63,136.31047,67.0472
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-20,135.91,136.56792,64.7917
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-22,135.73,136.4225,68.2503
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-24,136.1,136.73698,62.6985
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-25,136.03,136.67739,63.7386
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-10-29,135.15,135.89586,73.5859
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-03,135.11333,135.79644,67.3102
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-05,136.46667,137.20289,72.6226
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-09,136.45667,137.12381,65.7145
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-10,136.41333,137.06598,64.2642
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-20,134.46967,135.22145,74.1787
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-21,134.24,134.9414,69.1403
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-22,134.35467,135.03145,66.6783
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-23,134.46667,135.13346,65.6791
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-24,135.04333,135.74505,69.1713
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-25,135.46333,136.16562,69.2291
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-28,136.36,137.02977,65.9772
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-29,136.32933,136.96407,62.4736
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-11-30,136.44,137.07165,62.1648
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-05,137.3,137.89667,58.6673
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-06,137.211,137.78514,56.4138
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-07,138.02,138.64998,61.9978
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-08,138.02667,138.66235,62.568
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-09,138.47667,139.15404,66.7374
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-10,139.01667,139.71196,68.529
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-11,139.24667,139.96444,70.7777
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-12,139.13,139.79651,65.6507
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-13,139.28067,139.93018,63.9514
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-19,138.61,139.30454,68.4544
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-20,138.66033,139.32275,65.2419
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-21,139.23667,139.92327,67.6603
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-22,139.39,140.10036,70.036
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-23,139.37333,140.07065,68.732
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-26,140.27,140.91333,63.3331
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-27,140.25367,140.86788,60.4214
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-28,140.30667,140.92576,60.9091
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2004-12-29,140.33333,140.9394,59.607
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-18,133.54667,134.31226,75.5592
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-19,133.47333,134.27589,79.2557
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-22,134.17667,135.03454,84.7878
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-24,134.03533,134.78966,74.4326
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-25,134.03333,134.80853,76.5195
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-28,134.43,135.29943,85.9429
