indicator,side,bucket,bin,trades,win_rate,expectancy_pips,avg_r,rr_ratio,profit_factor
rsi14,SELL,25-30%,Q4,86,0.627906976744186,8.47895348837181,0.2040632448430171,1.0327707156601782,1.7428005826765507
rsi14,SELL,30-35%,Q4,40,0.525,7.843791666667009,0.1953597244066764,1.42231895873011,1.572036743859595
rsi2,SELL,00-05%,Q1,33,0.7272727272727273,1.8111111111106384,0.023033157012781,6.902912621352217,18.40776699027258
rsi2,SELL,05-10%,Q2,39,0.8974358974358975,1.8668803418805917,0.0180251729979158,0.159658290543924,1.3970100422593354
rsi2,SELL,10-15%,Q4,75,0.8933333333333333,7.755222222222187,0.1320882115606074,0.3110986756842641,2.605451408855712
rsi2,SELL,15-20%,Q5,92,0.7608695652173914,4.668206521738878,0.0790666747722656,0.4616159870473539,1.4687781406052172
rsi2,SELL,20-25%,Q5,140,0.6428571428571429,3.97947619047624,0.0568218982859762,0.6872094583992653,1.2369770251186776
rsi2,SELL,25-30%,Q4,117,0.5641025641025641,0.5226353276351763,0.0811051948287265,0.795051785562287,1.0288905460217832
rsi2,SELL,30-35%,Q3,31,0.5483870967741935,8.974999999999747,0.2340937611751332,1.4184956868515175,1.7224590483197004
sma20_dist,SELL,00-05%,Q3,56,0.6785714285714286,-1.0765773809524617,-0.018753923978622,0.2706029055191517,0.5712728005404314
sma20_dist,SELL,05-10%,Q1,34,0.8529411764705882,1.7271568627450988,-0.0282230191486773,0.2236755653867653,1.2973182792432387
sma20_dist,SELL,10-15%,Q5,62,0.8709677419354839,5.785752688172156,0.1010540547232784,0.2825914838395398,1.9074925159168936
sma20_dist,SELL,15-20%,Q5,77,0.7922077922077922,1.950519480519391,0.1250035744262178,0.3026643677070558,1.1539079018831506
sma20_dist,SELL,20-25%,Q1,48,0.6875,7.901145833333472,0.1337242459227974,0.692133359867381,1.522693391708238
sma20_dist,SELL,25-30%,Q5,111,0.5675675675675675,1.756261261260991,0.1069299059650758,0.833463816329179,1.0939212589320475
sma20_dist,SELL,30-35%,Q4,34,0.5588235294117647,8.72686274509856,0.2659180118932387,1.4348069427904786,1.8174221275346063
tr,SELL,00-05%,Q3,63,0.7777777777777778,-0.8659523809525327,-0.0205114462770245,0.1708114597429176,0.5978401091002117
tr,SELL,05-10%,Q2,49,0.9387755102040816,1.4373469387753328,0.038791334275852,0.143864629525301,2.205924319387949
tr,SELL,10-15%,Q2,60,0.8666666666666667,1.4953333333333916,0.0695175108056293,0.2263997347573094,1.471598275922511
tr,SELL,15-20%,Q5,61,0.7704918032786885,6.53904371584727,0.1125401978474262,0.3980499456193833,1.3363105317222157
tr,SELL,20-25%,Q4,89,0.651685393258427,2.610580524344865,0.0728231878972177,0.6330697308882639,1.1844530448877195
tr,SELL,25-30%,Q4,89,0.550561797752809,2.105692883894969,0.0723588116455306,0.9277536909181489,1.1364982713747325
tr,SELL,30-35%,Q3,39,0.5384615384615384,4.875854700854888,0.2195457188834498,1.3034438921033558,1.5206845407872485
