entry_below_yh_pips,buy_tp_above_yh_pips,sell_buy_ratio,buy_size,sell_size,trade_days,filled_days,filled_day_rate,buy_wins,buy_losses,sell_wins,sell_losses,sell_time_exits,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted
40,125,1.5,100.0,150.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-415620.0,383660.0,54.4121
40,75,1.2,100.0,120.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-332496.0,382594.0,54.261
40,40,1.2,100.0,120.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-332496.0,382164.0,54.2
40,30,1.2,100.0,120.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-332496.0,377704.0,53.5674
40,100,1.4,100.0,140.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-387912.0,376368.0,53.378
40,50,1.2,100.0,120.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-332496.0,366204.0,51.9365
40,75,1.27,100.0,127.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-351891.6,363198.4,51.5102
40,40,1.27,100.0,127.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-351891.6,362768.4,51.4492
40,30,1.27,100.0,127.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-351891.6,358308.4,50.8167
40,20,1.1,100.0,110.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-304788.0,357722.0,50.7335
40,125,1.6,100.0,160.0,7051,3507,0.497376,1222,2269,1669,1822,3477,799280.0,-443328.0,355952.0,50.4825
40,75,1.3,100.0,130.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-360204.0,354886.0,50.3313
40,40,1.3,100.0,130.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-360204.0,354456.0,50.2703
40,30,1.3,100.0,130.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-360204.0,349996.0,49.6378
40,100,1.5,100.0,150.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-415620.0,348660.0,49.4483
40,50,1.27,100.0,127.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-351891.6,346808.4,49.1857
40,10,1.0,100.0,100.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-277080.0,342730.0,48.6073
40,50,1.3,100.0,130.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-360204.0,338496.0,48.0068
40,20,1.2,100.0,120.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-332496.0,330014.0,46.8039
40,75,1.4,100.0,140.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-387912.0,327178.0,46.4016
40,40,1.4,100.0,140.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-387912.0,326748.0,46.3407
40,30,1.4,100.0,140.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-387912.0,322288.0,45.7081
40,100,1.6,100.0,160.0,7051,3507,0.497376,1224,2267,1669,1822,3477,764280.0,-443328.0,320952.0,45.5186
40,10,1.1,100.0,110.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-304788.0,315022.0,44.6776
30,150,1.0,100.0,100.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-711290.0,310990.0,44.1058
40,50,1.4,100.0,140.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-387912.0,310788.0,44.0772
40,20,1.27,100.0,127.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-351891.6,310618.4,44.0531
40,20,1.3,100.0,130.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-360204.0,302306.0,42.8742
40,75,1.5,100.0,150.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-415620.0,299470.0,42.472
40,40,1.5,100.0,150.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-415620.0,299040.0,42.411
40,30,1.5,100.0,150.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-415620.0,294580.0,41.7785
40,10,1.2,100.0,120.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-332496.0,287314.0,40.748
40,50,1.5,100.0,150.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-415620.0,283080.0,40.1475
40,20,1.4,100.0,140.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-387912.0,274598.0,38.9445
40,75,1.6,100.0,160.0,7051,3507,0.497376,1231,2260,1669,1822,3477,715090.0,-443328.0,271762.0,38.5423
40,40,1.6,100.0,160.0,7051,3507,0.497376,1269,2222,1669,1822,3477,714660.0,-443328.0,271332.0,38.4814
40,10,1.27,100.0,127.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-351891.6,267918.4,37.9972
40,30,1.6,100.0,160.0,7051,3507,0.497376,1299,2192,1669,1822,3477,710200.0,-443328.0,266872.0,37.8488
40,10,1.3,100.0,130.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-360204.0,259606.0,36.8183
40,50,1.6,100.0,160.0,7051,3507,0.497376,1255,2236,1669,1822,3477,698700.0,-443328.0,255372.0,36.2178
30,125,1.0,100.0,100.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-711290.0,252740.0,35.8446
40,20,1.5,100.0,150.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-415620.0,246890.0,35.0149
30,150,1.1,100.0,110.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-782419.0,239861.0,34.018
