entry_leg1_pct,entry_leg2_pct,entry_leg3_pct,tp_pct_of_unit,sl_pct_of_unit,days_traded,filled_legs,closed_legs,wins,losses,time_exits,win_rate_excl_time_exit,total_pips,cal_ppd
0.15,0.6,0.9,0.5,0.3,6034,9076,9076,2795,5006,1275,0.358287,-7802.5,-1.2918
0.15,0.75,0.9,0.8,0.5,6034,8515,8515,1901,3797,2817,0.333626,-7843.75,-1.2986
0.15,0.3,0.75,1.0,0.8,6034,11028,11028,2129,3192,5707,0.400113,-7845.7033,-1.299
0.15,0.3,0.75,0.4,0.2,6034,11028,11028,3438,6945,645,0.331118,-7858.92,-1.3011
0.3,0.75,0.9,0.3,0.2,6034,8252,8252,3081,4760,411,0.392935,-7879.2667,-1.3045
0.6,0.75,0.9,0.5,0.2,6034,6762,6762,1564,4427,771,0.261058,-7891.62,-1.3066
0.3,0.6,0.9,0.5,0.2,6034,8813,8813,2146,5834,833,0.268922,-7932.5033,-1.3133
0.15,0.3,0.45,0.65,0.2,6034,12237,12237,2328,8562,1347,0.213774,-7934.02,-1.3136
0.15,0.3,0.6,0.4,0.2,6034,11589,11589,3604,7300,685,0.330521,-7934.6917,-1.3137
0.15,0.6,0.75,0.65,0.3,6034,9538,9538,2173,5582,1783,0.280206,-7966.9367,-1.319
0.15,0.3,0.75,0.2,0.3,6034,11028,11028,6341,4326,361,0.59445,-8030.26,-1.3295
0.15,0.3,0.9,0.2,0.2,6034,10566,10566,5159,5215,192,0.497301,-8030.63,-1.3296
0.15,0.6,0.9,1.0,0.65,6034,9076,9076,1631,3323,4122,0.329229,-8041.76,-1.3314
0.15,0.3,0.6,0.5,0.3,6034,11589,11589,3620,6451,1518,0.359448,-8045.8533,-1.3321
0.15,0.3,0.75,0.65,0.5,6034,11028,11028,3193,4713,3122,0.40387,-8092.9033,-1.3399
0.3,0.75,0.9,0.2,0.4,6034,8252,8252,5078,2663,511,0.655988,-8106.865,-1.3422
0.15,0.75,0.9,0.2,0.3,6034,8515,8515,4833,3337,345,0.591554,-8169.3133,-1.3525
0.3,0.6,0.9,1.0,0.4,6034,8813,8813,1236,4698,2879,0.208291,-8215.8367,-1.3602
0.15,0.6,0.75,0.3,0.2,6034,9538,9538,3596,5482,460,0.396122,-8259.5317,-1.3675
0.3,0.6,0.9,0.2,0.2,6034,8813,8813,4182,4395,236,0.487583,-8270.64,-1.3693
0.15,0.45,0.9,1.0,0.4,6034,9724,9724,1406,5185,3133,0.213321,-8289.6767,-1.3725
0.15,0.3,0.75,0.4,0.3,6034,11028,11028,4178,5781,1069,0.41952,-8309.8867,-1.3758
0.15,0.6,0.75,0.2,0.2,6034,9538,9538,4583,4720,235,0.492637,-8401.035,-1.3909
0.3,0.75,0.9,0.65,0.2,6034,8252,8252,1493,5736,1023,0.206529,-8410.515,-1.3925
0.6,0.75,0.9,1.0,0.2,6034,6762,6762,618,4836,1308,0.113311,-8418.0517,-1.3937
0.15,0.75,0.9,0.8,0.4,6034,8515,8515,1728,4440,2347,0.280156,-8440.815,-1.3975
0.3,0.6,0.9,0.3,0.2,6034,8813,8813,3275,5103,435,0.390905,-8463.1833,-1.4012
0.15,0.45,0.6,0.65,0.2,6034,10747,10747,1969,7479,1299,0.208404,-8465.5083,-1.4016
0.15,0.6,0.9,0.4,0.3,6034,9076,9076,3383,4699,994,0.418585,-8502.67,-1.4077
0.45,0.6,0.9,0.8,0.2,6034,7971,7971,1024,5648,1299,0.153477,-8524.52,-1.4113
0.15,0.3,0.9,0.3,0.3,6034,10566,10566,4902,5003,661,0.494902,-8535.8583,-1.4132
0.15,0.6,0.75,0.5,0.3,6034,9538,9538,2911,5258,1369,0.356347,-8547.555,-1.4152
0.6,0.75,0.9,0.8,0.2,6034,6762,6762,860,4755,1147,0.153161,-8556.0783,-1.4166
0.45,0.75,0.9,0.3,0.2,6034,7410,7410,2686,4293,431,0.384869,-8577.7583,-1.4202
0.15,0.3,0.9,0.2,0.3,6034,10566,10566,6060,4166,340,0.592607,-8618.785,-1.427
0.15,0.45,0.75,0.5,0.2,6034,10186,10186,2526,6765,895,0.271876,-8636.095,-1.4298
0.15,0.3,0.9,0.5,0.4,6034,10566,10566,3732,4998,1836,0.427491,-8671.3817,-1.4357
0.15,0.3,0.45,0.5,0.2,6034,12237,12237,3108,8172,957,0.275532,-8676.9783,-1.4366
0.15,0.3,0.75,0.3,0.2,6034,11028,11028,4236,6368,424,0.399472,-8705.3117,-1.4413
0.3,0.75,0.9,0.2,0.3,6034,8252,8252,4633,3273,346,0.586011,-8802.7317,-1.4574
0.15,0.3,0.45,1.0,0.65,6034,12237,12237,2154,4390,5693,0.329156,-8814.69,-1.4594
0.15,0.6,0.9,0.8,0.4,6034,9076,9076,1831,4717,2528,0.279627,-8848.5917,-1.465
0.6,0.75,0.9,0.4,0.2,6034,6762,6762,1918,4223,621,0.312327,-8867.8417,-1.4682
0.15,0.45,0.9,0.4,0.3,6034,9724,9724,3640,5083,1001,0.417288,-8913.435,-1.4757
0.3,0.6,0.75,1.0,0.4,6034,9275,9275,1303,4912,3060,0.209654,-8926.835,-1.478
0.15,0.6,0.9,0.3,0.3,6034,9076,9076,4126,4255,695,0.492304,-8931.715,-1.4788
0.6,0.75,0.9,0.65,0.2,6034,6762,6762,1134,4653,975,0.195956,-8942.0033,-1.4805
0.15,0.6,0.9,0.2,0.2,6034,9076,9076,4336,4509,231,0.49022,-8971.0567,-1.4853
0.15,0.45,0.75,1.0,0.4,6034,10186,10186,1473,5399,3314,0.214348,-9000.675,-1.4902
0.45,0.75,0.9,0.2,0.2,6034,7410,7410,3426,3736,248,0.478358,-9013.8183,-1.4924
0.15,0.45,0.75,0.4,0.2,6034,10186,10186,3095,6430,661,0.324934,-9023.52,-1.494
0.45,0.6,0.9,0.5,0.2,6034,7971,7971,1846,5289,836,0.258725,-9032.2283,-1.4954
0.3,0.75,0.9,0.4,0.2,6034,8252,8252,2448,5208,596,0.319749,-9064.5783,-1.5008
0.3,0.75,0.9,0.5,0.2,6034,8252,8252,2000,5473,779,0.26763,-9071.6033,-1.5019
0.15,0.45,0.6,0.4,0.2,6034,10747,10747,3261,6785,701,0.324607,-9099.2917,-1.5065
0.15,0.3,0.75,1.0,1.0,6034,11028,11028,2230,2404,6394,0.481226,-9115.21,-1.5091
0.3,0.6,0.9,0.4,0.2,6034,8813,8813,2614,5563,636,0.319677,-9140.35,-1.5133
0.3,0.6,0.75,0.65,0.2,6034,9275,9275,1657,6448,1170,0.204442,-9143.0033,-1.5137
0.45,0.6,0.9,0.3,0.2,6034,7971,7971,2880,4636,455,0.383183,-9161.675,-1.5168
0.15,0.45,0.9,1.0,0.5,6034,9724,9724,1551,4451,3722,0.258414,-9176.3333,-1.5193
0.15,0.3,0.6,0.2,0.2,6034,11589,11589,5628,5744,217,0.4949,-9184.0033,-1.5205
0.15,0.45,0.9,0.65,0.3,6034,9724,9724,2232,5732,1760,0.280261,-9195.15,-1.5224
0.3,0.45,0.75,0.2,0.2,6034,9923,9923,4718,4971,234,0.486944,-9226.765,-1.5276
0.45,0.6,0.9,1.0,0.2,6034,7971,7971,710,5749,1512,0.109924,-9227.3933,-1.5277
0.3,0.6,0.9,0.8,0.3,6034,8813,8813,1485,5346,1982,0.217391,-9262.51,-1.5335
0.15,0.3,0.6,0.65,0.5,6034,11589,11589,3328,4931,3330,0.402954,-9270.88,-1.5349
0.3,0.45,0.9,1.0,0.3,6034,9461,9461,1136,5901,2424,0.161432,-9280.9833,-1.5366
0.15,0.3,0.6,0.3,0.2,6034,11589,11589,4430,6711,448,0.39763,-9289.2283,-1.538
0.15,0.45,0.9,0.8,0.4,6034,9724,9724,1956,5061,2707,0.278752,-9290.425,-1.5381
0.15,0.3,0.45,0.4,0.2,6034,12237,12237,3791,7770,676,0.327913,-9296.0283,-1.5391
0.15,0.45,0.75,0.65,0.2,6034,10186,10186,1860,7108,1218,0.207404,-9386.765,-1.5541
0.15,0.45,0.75,0.65,0.3,6034,10186,10186,2314,5996,1876,0.27846,-9397.3483,-1.5559
0.15,0.45,0.75,0.3,0.2,6034,10186,10186,3841,5901,444,0.394272,-9403.8033,-1.5569
0.15,0.3,0.75,0.2,0.4,6034,11028,11028,6907,3547,574,0.660704,-9424.9467,-1.5604
0.15,0.3,0.6,0.65,0.4,6034,11589,11589,3054,5847,2688,0.343108,-9484.075,-1.5702
0.15,0.45,0.9,0.5,0.3,6034,9724,9724,2984,5417,1323,0.355196,-9536.5933,-1.5789
0.3,0.45,0.9,1.0,0.4,6034,9461,9461,1308,5047,3106,0.205822,-9539.035,-1.5793
0.15,0.6,0.75,0.2,0.3,6034,9538,9538,5376,3752,410,0.588957,-9592.1033,-1.5881
0.3,0.75,0.9,0.8,0.3,6034,8252,8252,1392,5036,1824,0.216553,-9594.8317,-1.5885
0.3,0.45,0.9,0.3,0.2,6034,9461,9461,3520,5522,419,0.389294,-9607.455,-1.5906
0.15,0.3,0.9,0.5,0.5,6034,10566,10566,4031,4214,2321,0.488902,-9607.9483,-1.5907
0.15,0.3,0.9,0.2,0.4,6034,10566,10566,6596,3440,530,0.657234,-9611.2983,-1.5913
0.3,0.6,0.75,0.5,0.2,6034,9275,9275,2234,6157,884,0.266238,-9628.3133,-1.5941
0.15,0.45,0.9,0.3,0.3,6034,9724,9724,4440,4597,687,0.491313,-9637.14,-1.5956
0.15,0.3,0.6,0.4,0.3,6034,11589,11589,4368,6082,1139,0.41799,-9680.5767,-1.6027
0.3,0.45,0.75,0.8,0.2,6034,9923,9923,1329,7115,1479,0.15739,-9683.115,-1.6032
0.15,0.3,0.75,0.3,0.3,6034,11028,11028,5086,5219,723,0.493547,-9684.7917,-1.6034
0.15,0.3,0.75,0.2,0.5,6034,11028,11028,7284,2939,805,0.712511,-9710.445,-1.6077
0.15,0.6,0.75,0.4,0.3,6034,9538,9538,3522,4945,1071,0.415968,-9716.73,-1.6087
0.15,0.75,0.9,0.8,0.65,6034,8515,8515,2076,3029,3410,0.40666,-9727.0083,-1.6104
