date,side,outcome,pips
2006-04-25,BUY,TIME_WIN,73.99999999999716
2006-04-26,SELL,SL,-46.82499999999925
2006-04-27,SELL,TP,38.306449999997994
2006-04-28,SELL,SL,-35.28749999999923
2006-05-01,SELL,TP,22.510400000000686
2006-05-02,SELL,SL,-40.16250000000048
2006-05-03,BUY,TP,69.89855000000114
2006-05-04,SELL,SL,-31.87500000000034
2006-05-05,SELL,SL,-36.58750000000259
2006-05-08,BUY,SL,-25.37500000000057
2006-05-09,BUY,TIME_LOSS,-17.133333333334576
2006-05-10,SELL,TP,53.00045000000091
2006-05-11,SELL,SL,-29.600000000000136
2006-05-12,BUY,TP,71.36795000000029
2006-05-15,BUY,SL,-19.850000000000477
2006-05-16,BUY,SL,-36.09999999999991
2006-05-17,BUY,SL,-28.625000000000455
2006-05-18,SELL,SL,-48.12499999999977
2006-05-19,SELL,SL,-50.39999999999998
2006-05-22,SELL,SL,-15.202500000001805
2006-05-23,SELL,TP,86.79665000000136
2006-05-24,SELL,SL,-37.88750000000027
2006-05-25,SELL,TP,83.49049999999829
2006-05-26,BUY,TIME_WIN,49.200000000000955
2006-05-29,BUY,SL,-14.812500000000227
2006-05-30,SELL,SL,-22.28749999999968
2006-05-31,SELL,TIME_WIN,10.904166666667493
2006-06-01,BUY,SL,-21.474999999999
2006-06-02,SELL,SL,-22.44999999999868
2006-06-05,SELL,SL,-7.922500000001719
2006-06-06,SELL,SL,-23.425000000001205
2006-06-07,SELL,TP,70.26590000000022
2006-06-08,SELL,SL,-24.887500000000728
2006-06-09,BUY,TIME_LOSS,-19.675000000001774
2006-06-12,SELL,SL,-10.685000000001764
2006-06-13,SELL,SL,-21.63750000000084
2006-06-14,SELL,SL,-36.42500000000075
2006-06-15,SELL,SL,-27.48749999999893
2006-06-16,SELL,SL,-18.225000000001955
2006-06-19,BUY,SL,-9.70999999999924
2006-06-20,BUY,SL,-31.22499999999866
2006-06-21,BUY,TP,76.14350000000252
2006-06-22,SELL,SL,-36.09999999999991
2006-06-23,BUY,SL,-33.82500000000255
2006-06-26,SELL,TP,15.604219999999259
2006-06-27,SELL,SL,-28.462500000001455
2006-06-28,BUY,SL,-19.687499999998636
2006-06-29,SELL,TP,48.95959999999968
2006-06-30,SELL,SL,-32.85000000000002
2006-07-04,SELL,SL,-47.79999999999893
2006-07-05,SELL,TP,57.40865000000122
2006-07-06,SELL,TIME_LOSS,-1.6583333333338715
2006-07-07,BUY,SL,-26.51249999999925
2006-07-10,BUY,SL,-12.375000000001023
2006-07-11,BUY,TIME_WIN,52.87499999999932
2006-07-12,SELL,SL,-27.975000000001614
2006-07-13,SELL,TIME_WIN,7.1125000000014325
2006-07-14,SELL,SL,-22.28749999999968
2006-07-17,BUY,SL,-10.262499999999818
2006-07-18,BUY,SL,-25.212499999998727
2006-07-19,BUY,TP,53.73515000000191
2006-07-20,SELL,SL,-32.85000000000002
2006-07-21,SELL,TP,82.7557999999973
2006-07-25,SELL,SL,-15.787499999999909
2006-07-26,BUY,SL,-23.912499999998204
2006-07-27,SELL,TP,94.14364999999714
2006-07-28,BUY,SL,-36.58749999999975
2006-07-31,SELL,TP,21.04099999999869
2006-08-01,BUY,TP,64.02095000000168
2006-08-02,SELL,TIME_WIN,21.8666666666669
2006-08-03,BUY,SL,-20.17500000000132
2006-08-04,SELL,SL,-41.949999999998
2006-08-07,SELL,SL,-25.797499999999673
2006-08-08,SELL,TIME_WIN,2.6249999999995453
2006-08-09,SELL,SL,-20.82500000000016
2006-08-10,SELL,TP,80.1843500000009
2006-08-11,BUY,TIME_WIN,43.974999999999454
2006-08-14,SELL,SL,-11.0750000000005
2006-08-15,SELL,SL,-21.637499999998
2006-08-16,SELL,SL,-19.850000000000477
2006-08-17,SELL,TIME_WIN,2.7416666666672427
2006-08-18,SELL,TP,42.34729999999922
2006-08-21,SELL,SL,-9.287500000000136
2006-08-22,SELL,TIME_WIN,42.891666666664264
2006-08-23,BUY,SL,-25.37500000000057
2006-08-24,BUY,TP,58.143350000002215
2006-08-25,SELL,SL,-31.2250000000015
2006-08-28,SELL,SL,-6.850000000000932
2006-08-29,SELL,SL,-13.024999999999864
2006-08-30,SELL,SL,-34.799999999999386
2006-08-31,SELL,SL,-23.100000000000364
2006-09-01,BUY,SL,-22.612500000000523
2006-09-04,BUY,SL,-11.400000000001342
2006-09-05,BUY,SL,-39.349999999999795
2006-09-06,SELL,SL,-34.799999999999386
2006-09-08,BUY,TIME_WIN,2.125
2006-09-11,BUY,SL,-12.700000000001864
2006-09-12,SELL,TIME_LOSS,-25.849999999997863
2006-09-13,BUY,SL,-20.499999999999318
2006-09-14,BUY,TP,51.531050000001756
2006-09-15,SELL,TP,59.24539999999945
2006-09-18,SELL,SL,-35.12500000000023
2006-09-19,SELL,SL,-35.77500000000191
2006-09-20,BUY,SL,-54.95000000000039
2006-09-21,SELL,TIME_WIN,24.499999999996703
2006-09-22,BUY,TP,50.06164999999976
2006-09-25,SELL,SL,-8.475000000002296
2006-09-26,BUY,SL,-29.600000000000136
2006-09-27,SELL,SL,-35.28749999999923
2006-09-28,SELL,SL,-37.56249999999943
2006-09-29,SELL,TP,42.34729999999922
2006-10-02,SELL,SL,-14.974999999999227
2006-10-03,SELL,TP,39.77584999999999
2006-10-04,SELL,TP,62.1842000000006
2006-10-05,BUY,SL,-28.950000000001296
2006-10-06,SELL,SL,-27.324999999999932
2006-10-09,BUY,TP,26.91859999999815
2006-10-10,BUY,TIME_WIN,27.5791666666654
2006-10-11,BUY,SL,-15.300000000000068
2006-10-12,BUY,SL,-14.812500000000227
2006-10-13,BUY,TP,33.53089999999861
2006-10-16,SELL,TP,13.693999999997231
2006-10-17,BUY,SL,-25.86250000000041
2006-10-18,BUY,TIME_WIN,43.45833333333269
2006-10-19,SELL,SL,-23.100000000000364
2006-10-20,SELL,SL,-25.70000000000141
2006-10-23,SELL,SL,-14.325000000000387
2006-10-24,BUY,TP,24.714499999997997
2006-10-25,BUY,SL,-14.974999999999227
2006-10-26,SELL,SL,-19.850000000000477
2006-10-27,SELL,TP,43.81670000000122
2006-10-30,BUY,SL,-9.937499999998977
2006-10-31,SELL,TP,36.10234999999784
2006-11-01,BUY,TIME_WIN,43.233333333332325
2006-11-02,SELL,TP,44.551399999999376
2006-11-03,SELL,SL,-33.500000000001705
2006-11-06,BUY,TP,16.85321000000124
2006-11-07,SELL,TIME_WIN,16.14583333333337
2006-11-08,BUY,TP,23.97979999999984
2006-11-09,SELL,SL,-11.72499999999934
2006-11-10,SELL,TIME_WIN,27.54583333333096
2006-11-13,BUY,SL,-5.7775000000001455
2006-11-14,BUY,SL,-21.474999999999
2006-11-15,BUY,TP,55.20455000000106
2006-11-16,SELL,TIME_WIN,2.274999999999295
2006-11-17,BUY,SL,-13.350000000000705
2006-11-20,SELL,SL,-9.352500000000873
2006-11-21,BUY,TIME_WIN,14.491666666667925
2006-11-22,SELL,TP,28.02065000000107
2006-11-23,BUY,SL,-26.99999999999909
2006-11-24,SELL,SL,-26.99999999999909
2006-11-27,SELL,SL,-14.519999999999754
2006-11-28,SELL,SL,-23.425000000001205
2006-11-29,BUY,TIME_WIN,30.58333333333303
2006-11-30,SELL,SL,-23.749999999999204
2006-12-01,SELL,SL,-18.874999999997954
2006-12-04,SELL,SL,-5.810000000000514
2006-12-05,BUY,SL,-19.850000000000477
2006-12-06,BUY,SL,-42.27499999999884
2006-12-07,SELL,TIME_WIN,16.108333333334258
2006-12-08,SELL,SL,-23.100000000000364
2006-12-11,BUY,TP,20.820589999998674
2006-12-12,SELL,SL,-55.274999999998386
2006-12-13,SELL,SL,-24.399999999998045
2006-12-14,BUY,TP,37.939099999998916
2006-12-15,BUY,SL,-28.299999999999613
2006-12-18,SELL,SL,-10.652500000001396
2006-12-19,SELL,SL,-23.749999999999204
2006-12-21,BUY,TP,40.14319999999907
2006-12-22,SELL,TIME_WIN,17.829166666665742
2006-12-26,SELL,TIME_WIN,5.116666666665083
2006-12-27,BUY,SL,-14.974999999999227
2006-12-28,SELL,SL,-27.324999999999932
2006-12-29,SELL,SL,-33.175000000000864
2007-02-04,BUY,TIME_LOSS,-11.533333333333417
2007-02-12,SELL,TP,57.70252999999934
2007-02-13,BUY,SL,-44.874999999999886
2007-02-14,SELL,SL,-29.112499999997453
2007-02-15,BUY,SL,-33.500000000001705
2007-02-16,BUY,SL,-48.775000000001455
2007-02-19,SELL,SL,-8.117500000001087
2007-02-21,SELL,SL,-21.150000000001
2007-02-22,SELL,SL,-58.20000000000027
