pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2018-02-07,ABOVE,SELL1,SELL,130.0,1.23803,1.23138,TP,66.5,8645.0,121203,121218
EURUSD,2018-02-08,BELOW,SELL1,SELL,100.0,1.22699,1.22259,TP,44.0,4400.0,121227,121236
EURUSD,2018-02-08,BELOW,BUY1,BUY,130.0,1.22699,1.22659,TP,-4.0,-520.0,121227,121240
EURUSD,2018-02-08,BELOW,BUY2,BUY,130.0,1.23055,1.22659,TP,-39.6,-5148.0,121236,121240
EURUSD,2018-02-09,ABOVE,BUY1,BUY,100.0,1.22607,1.2212,SL,-48.7,-4870.0,121251,121268
EURUSD,2018-02-09,ABOVE,SELL1,SELL,130.0,1.22607,1.2212,TP,48.7,6331.0,121251,121268
EURUSD,2018-02-10,ABOVE,BUY1,BUY,100.0,1.2251,1.23073,TP,56.3,5630.0,121275,121352
EURUSD,2018-02-10,ABOVE,SELL1,SELL,130.0,1.2251,1.22673,TP,-16.3,-2119.0,121275,121563
EURUSD,2018-02-10,ABOVE,SELL2,SELL,130.0,1.23054,1.22673,TP,38.1,4953.0,121352,121563
EURUSD,2018-02-12,ABOVE,BUY1,BUY,100.0,1.22523,1.22724,TP,20.1,2010.0,121323,121324
EURUSD,2018-02-12,ABOVE,SELL1,SELL,130.0,1.22523,1.2552400000000001,SL,-300.1,-39013.0,121323,121423
EURUSD,2018-02-12,ABOVE,SELL2,SELL,130.0,1.23418,1.2552400000000001,SL,-210.6,-27378.0,121357,121423
EURUSD,2018-02-13,ABOVE,BUY1,BUY,100.0,1.23009,1.23271,TP,26.2,2620.0,121347,121354
EURUSD,2018-02-13,ABOVE,SELL1,SELL,130.0,1.23009,1.22871,TP,13.8,1794.0,121347,121384
EURUSD,2018-02-13,ABOVE,SELL2,SELL,130.0,1.2335,1.22871,TP,47.9,6227.0,121355,121384
EURUSD,2018-02-14,ABOVE,BUY1,BUY,100.0,1.23537,1.2391,TP,37.3,3730.0,121371,121374
EURUSD,2018-02-14,ABOVE,SELL1,SELL,130.0,1.23537,1.2351,TP,2.7,351.0,121371,121380
EURUSD,2018-02-14,ABOVE,SELL2,SELL,130.0,1.23844,1.2351,TP,33.4,4342.0,121374,121380
EURUSD,2018-02-15,ABOVE,BUY1,BUY,100.0,1.24682,1.24895,TP,21.3,2130.0,121395,121402
EURUSD,2018-02-15,ABOVE,SELL1,SELL,130.0,1.24682,1.24495,TP,18.7,2431.0,121395,121433
EURUSD,2018-02-15,ABOVE,SELL2,SELL,130.0,1.23758,1.24495,TP,-73.7,-9581.0,121402,121433
EURUSD,2018-02-16,ABOVE,BUY1,BUY,100.0,1.25027,1.25303,TP,27.6,2760.0,121419,121421
EURUSD,2018-02-16,ABOVE,SELL1,SELL,130.0,1.25027,1.24903,TP,12.4,1612.0,121419,121429
