side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
BUY,25-30%,Q4,45,25,20,38.90666666666658,33.00899999999969,6.94414814814824,0.06550356522366009,972.6666666666646,660.1799999999938,donchian_width20,0.5555555555555556,1.1786684439597368,1.473335554949671
BUY,30-35%,Q5,32,18,14,59.62037037037003,36.00011904761889,17.786406249999875,0.26224206699349795,1073.1666666666606,504.00166666666445,donchian_width20,0.5625,1.6561159226031346,2.1292919004897444
SELL,00-05%,Q3,56,38,18,2.3877192982453974,1.5084259259259087,1.1353869047617633,0.002410097490587891,90.7333333333251,27.151666666666358,donchian_width20,0.6785714285714286,1.5829211479375476,3.3417224234237115
SELL,05-10%,Q1,38,34,4,4.1686274509804395,18.470416666666466,1.78557017543866,-0.001991029814334594,141.73333333333494,73.88166666666586,donchian_width20,0.8947368421052632,0.22569211762848618,1.9183829998421325
SELL,10-15%,Q1,37,35,2,8.11904761904769,28.329166666665117,6.148873873874024,0.18611352161698116,284.16666666666913,56.65833333333023,donchian_width20,0.9459459459459459,0.28659676843235066,5.0154434475661365
SELL,15-20%,Q5,73,59,14,24.313559322034003,73.15940476190427,5.620114155251319,0.1557159461257496,1434.5000000000061,1024.2316666666597,donchian_width20,0.8082191780821918,0.33233675699196796,1.4005620473232936
SELL,20-25%,Q3,77,50,27,23.696666666666996,37.19179012345683,2.346168831169031,0.04254269226696054,1184.8333333333499,1004.1783333333345,donchian_width20,0.6493506493506493,0.6371477841751297,1.179903304028018
SELL,25-30%,Q5,91,49,42,44.013605442176875,52.58813492063514,-0.5718131868132773,0.05153196026132433,2156.666666666667,2208.701666666676,donchian_width20,0.5384615384615384,0.8369493519517519,0.9764409106103773
SELL,30-35%,Q4,39,21,18,37.080952380952034,31.50268518518493,5.426965811965747,0.21728566142486963,778.6999999999928,567.0483333333287,donchian_width20,0.5384615384615384,1.1770727530994867,1.3732515452827343
BUY,00-05%,Q1,50,43,7,3.389922480620538,14.103809523809876,0.9408000000002801,-0.008044525141098461,145.76666666668314,98.72666666666913,ema20_dist,0.86,0.24035509518883624,1.4764670133028512
BUY,05-10%,Q5,30,26,4,7.061538461538093,69.31291666666743,-3.121722222222644,-0.022523685054711348,183.59999999999042,277.25166666666973,ema20_dist,0.8666666666666667,0.1018791128859534,0.6622142337586971
BUY,10-15%,Q2,55,45,10,11.494074074073847,37.09866666666619,2.6590303030302027,0.026148271571460716,517.2333333333231,370.9866666666619,ema20_dist,0.8181818181818182,0.309824452111684,1.394210034502578
BUY,15-20%,Q5,32,23,9,17.171014492753432,44.68870370370419,-0.2270312500002747,0.014729615172417207,394.93333333332896,402.19833333333776,ema20_dist,0.71875,0.38423612836480975,0.981936772487847
BUY,20-25%,Q1,110,66,44,36.609595959595865,58.01549242424223,-1.2404393939393659,-0.00802475468650056,2416.233333333327,2552.681666666658,ema20_dist,0.6,0.631031375065917,0.9465470625988756
BUY,25-30%,Q2,46,26,20,36.676923076923046,34.71875000000017,5.635326086956431,0.055297095778528864,953.5999999999992,694.3750000000034,ema20_dist,0.5652173913043478,1.0564010247178504,1.3733213321332054
BUY,30-35%,Q1,50,26,24,53.50256410256408,37.43493055555561,9.852566666666632,0.17560845127582414,1391.0666666666662,898.4383333333346,ema20_dist,0.52,1.42921499542154,1.5483162450400019
SELL,00-05%,Q4,42,37,5,1.9936936936937901,11.116666666666276,0.4329365079366393,0.00452089648026018,73.76666666667023,55.58333333333138,ema20_dist,0.8809523809523809,0.17934276105192146,1.3271364317842187
SELL,05-10%,Q1,35,32,3,9.300000000000153,37.56555555555675,5.282952380952419,0.04094339693580739,297.6000000000049,112.69666666667024,ema20_dist,0.9142857142857143,0.24756721583010063,2.6407169688544068
SELL,10-15%,Q5,61,53,8,13.035849056603626,52.07624999999931,4.496557377049142,0.09360242205079289,690.8999999999921,416.6099999999945,ema20_dist,0.8688524590163934,0.25032234572581163,1.658385540433502
SELL,15-20%,Q2,44,36,8,16.09074074074116,32.36645833333258,7.2803409090913895,0.15724027461457532,579.2666666666818,258.93166666666065,ema20_dist,0.8181818181818182,0.4971424607236103,2.2371410732562462
SELL,20-25%,Q1,49,34,15,33.843137254902,51.56211111111081,7.698673469387867,0.1429577607259622,1150.6666666666679,773.4316666666622,ema20_dist,0.6938775510204082,0.6563567031220594,1.4877418604100012
SELL,25-30%,Q5,121,65,56,35.69179487179474,41.45151785714326,-0.010895316804668985,0.041902260936649914,2319.966666666658,2321.2850000000226,ema20_dist,0.5371900826446281,0.8610491657941555,0.9994320674396446
SELL,30-35%,Q4,31,17,14,39.17058823529391,22.74297619047607,11.20962365591392,0.23149681209181813,665.8999999999966,318.401666666665,ema20_dist,0.5483870967741935,1.7223158441196946,2.0913835250024864
BUY,00-05%,Q5,43,39,4,4.729914529914536,0.2916666666662451,4.262790697674464,0.03714240760570469,184.46666666666692,1.1666666666649803,hl_range_pct,0.9069767441860465,16.216849816873278,158.1142857145145
BUY,05-10%,Q4,45,38,7,7.54473684210515,50.83952380952396,-1.5372592592593781,-0.03898650397738564,286.6999999999957,355.87666666666775,hl_range_pct,0.8444444444444444,0.14840298013750802,0.8056161778893293
BUY,10-15%,Q5,63,52,11,24.655769230769167,89.96454545454498,4.642698412698441,0.05480252298729523,1282.0999999999967,989.6099999999948,hl_range_pct,0.8253968253968254,0.274060954859452,1.2955608775174094
BUY,15-20%,Q3,42,35,7,13.798095238094707,35.31023809523838,5.613373015872526,0.1863282277581361,482.93333333331475,247.17166666666867,hl_range_pct,0.8333333333333334,0.39076755021811627,1.9538377510905816
BUY,20-25%,Q5,119,72,47,46.02037037037048,70.2785106382977,0.0871988795519553,0.01346067746629788,3313.4666666666744,3303.089999999992,hl_range_pct,0.6050420168067226,0.6548284810306161,1.0031415028554118
BUY,25-30%,Q2,36,21,15,12.365079365079525,14.910999999999754,1.000046296296492,0.06654717842490242,259.66666666667004,223.66499999999633,hl_range_pct,0.5833333333333334,0.8292588937750472,1.160962451285066
BUY,30-35%,Q5,42,19,23,74.10526315789436,45.088405797101565,8.832539682539442,0.023390422966380026,1407.9999999999927,1037.033333333336,hl_range_pct,0.4523809523809524,1.6435547420188028,1.3577191347111848
SELL,00-05%,Q3,54,42,12,1.6468253968252564,10.999027777777414,-1.1633641975308924,-0.02824769878637105,69.16666666666077,131.98833333332897,hl_range_pct,0.7777777777777778,0.14972463294915256,0.524036215322034
SELL,05-10%,Q5,57,50,7,12.122000000000215,76.65119047619078,1.2200292397662318,0.002571905450191512,606.1000000000107,536.5583333333354,hl_range_pct,0.8771929824561403,0.1581449671517564,1.1296069082268314
